 Total battles: 182837
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 25.40487% | 92899  | 25.405% | 80146  | 28.812% | 
 | 2    | Greninja-Ash       | 18.51184% | 67693  | 18.512% | 49849  | 17.920% | 
 | 3    | Ferrothorn         | 16.38372% | 59911  | 16.384% | 50660  | 18.212% | 
 | 4    | Tapu Koko          | 13.98978% | 51157  | 13.990% | 41034  | 14.751% | 
 | 5    | Magearna           | 13.05671% | 47745  | 13.057% | 38056  | 13.681% | 
 | 6    | Kartana            | 12.64213% | 46229  | 12.642% | 33383  | 12.001% | 
 | 7    | Toxapex            | 10.75576% | 39331  | 10.756% | 30343  | 10.908% | 
 | 8    | Gliscor            | 10.40982% | 38066  | 10.410% | 29595  | 10.639% | 
 | 9    | Rotom-Wash         | 10.22632% | 37395  | 10.226% | 31017  | 11.150% | 
 | 10   | Heatran            | 10.21292% | 37346  | 10.213% | 30182  | 10.850% | 
 | 11   | Serperior          |  9.30419% | 34023  |  9.304% | 24836  |  8.928% | 
 | 12   | Excadrill          |  9.27165% | 33904  |  9.272% | 26574  |  9.553% | 
 | 13   | Garchomp           |  9.07092% | 33170  |  9.071% | 25441  |  9.146% | 
 | 14   | Tornadus-Therian   |  8.54203% | 31236  |  8.542% | 24060  |  8.649% | 
 | 15   | Tapu Lele          |  8.42198% | 30797  |  8.422% | 23603  |  8.485% | 
 | 16   | Greninja           |  8.11160% | 29662  |  8.112% | 22498  |  8.088% | 
 | 17   | Hawlucha           |  7.34206% | 26848  |  7.342% | 18425  |  6.624% | 
 | 18   | Clefable           |  7.29748% | 26685  |  7.297% | 19622  |  7.054% | 
 | 19   | Volcarona          |  7.15555% | 26166  |  7.156% | 18271  |  6.568% | 
 | 20   | Chansey            |  7.01308% | 25645  |  7.013% | 19529  |  7.020% | 
 | 21   | Pelipper           |  6.92830% | 25335  |  6.928% | 23128  |  8.314% | 
 | 22   | Zapdos             |  6.82192% | 24946  |  6.822% | 19797  |  7.117% | 
 | 23   | Charizard-Mega-X   |  6.71035% | 24538  |  6.710% | 18220  |  6.550% | 
 | 24   | Swampert-Mega      |  6.45985% | 23622  |  6.460% | 18713  |  6.727% | 
 | 25   | Lopunny-Mega       |  5.94190% | 21728  |  5.942% | 16965  |  6.099% | 
 | 26   | Victini            |  5.74638% | 21013  |  5.746% | 16053  |  5.771% | 
 | 27   | Charizard-Mega-Y   |  5.63289% | 20598  |  5.633% | 16102  |  5.788% | 
 | 28   | Mawile-Mega        |  5.58913% | 20438  |  5.589% | 15211  |  5.468% | 
 | 29   | Tapu Fini          |  5.55495% | 20313  |  5.555% | 16662  |  5.990% | 
 | 30   | Kommo-o            |  5.54073% | 20261  |  5.541% | 14613  |  5.253% | 
 | 31   | Alakazam-Mega      |  5.44583% | 19914  |  5.446% | 13408  |  4.820% | 
 | 32   | Kyurem-Black       |  5.41876% | 19815  |  5.419% | 14641  |  5.263% | 
