 Total battles: 345907
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 20.99885% | 145273 | 20.999% | 123824 | 24.052% | 
 | 2    | Greninja-Ash       | 15.78502% | 109203 | 15.785% | 78328  | 15.215% | 
 | 3    | Ferrothorn         | 14.57270% | 100816 | 14.573% | 83782  | 16.274% | 
 | 4    | Tapu Koko          | 11.19159% | 77425  | 11.192% | 60330  | 11.719% | 
 | 5    | Kartana            | 11.17266% | 77294  | 11.173% | 56461  | 10.967% | 
 | 6    | Heatran            | 11.15965% | 77204  | 11.160% | 61178  | 11.883% | 
 | 7    | Garchomp           | 10.04302% | 69479  | 10.043% | 51722  | 10.047% | 
 | 8    | Gliscor            |  9.95687% | 68883  |  9.957% | 52365  | 10.172% | 
 | 9    | Magearna           |  9.40079% | 65036  |  9.401% | 52056  | 10.111% | 
 | 10   | Serperior          |  9.16894% | 63432  |  9.169% | 44785  |  8.699% | 
 | 11   | Rotom-Wash         |  9.01991% | 62401  |  9.020% | 51055  |  9.917% | 
 | 12   | Toxapex            |  8.48581% | 58706  |  8.486% | 44052  |  8.557% | 
 | 13   | Greninja           |  8.37393% | 57932  |  8.374% | 42125  |  8.182% | 
 | 14   | Excadrill          |  8.19064% | 56664  |  8.191% | 43027  |  8.358% | 
 | 15   | Chansey            |  7.88810% | 54571  |  7.888% | 40562  |  7.879% | 
 | 16   | Zapdos             |  7.38074% | 51061  |  7.381% | 40365  |  7.841% | 
 | 17   | Clefable           |  7.11940% | 49253  |  7.119% | 35342  |  6.865% | 
 | 18   | Tapu Lele          |  6.85661% | 47435  |  6.857% | 35772  |  6.948% | 
 | 19   | Tyranitar          |  6.84461% | 47352  |  6.845% | 36556  |  7.101% | 
 | 20   | Charizard-Mega-X   |  6.71047% | 46424  |  6.710% | 34479  |  6.697% | 
 | 21   | Volcarona          |  6.65020% | 46007  |  6.650% | 32182  |  6.251% | 
 | 22   | Tornadus-Therian   |  6.36862% | 44059  |  6.369% | 33418  |  6.491% | 
 | 23   | Pelipper           |  6.09065% | 42136  |  6.091% | 38177  |  7.416% | 
 | 24   | Swampert-Mega      |  5.95839% | 41221  |  5.958% | 32446  |  6.302% | 
 | 25   | Scizor-Mega        |  5.74331% | 39733  |  5.743% | 30058  |  5.839% | 
 | 26   | Hawlucha           |  5.74042% | 39713  |  5.740% | 27216  |  5.287% | 
 | 27   | Charizard-Mega-Y   |  5.65369% | 39113  |  5.654% | 29771  |  5.783% | 
 | 28   | Magnezone          |  5.57289% | 38554  |  5.573% | 29000  |  5.633% | 
 | 29   | Medicham-Mega      |  5.52403% | 38216  |  5.524% | 28948  |  5.623% | 
 | 30   | Skarmory           |  5.51131% | 38128  |  5.511% | 30713  |  5.966% | 
 | 31   | Azumarill          |  5.43513% | 37601  |  5.435% | 27159  |  5.275% | 
 | 32   | Tapu Fini          |  5.43036% | 37568  |  5.430% | 30076  |  5.842% | 
 | 33   | Celesteela         |  5.25763% | 36373  |  5.258% | 28046  |  5.448% | 
 | 34   | Lopunny-Mega       |  5.23970% | 36249  |  5.240% | 28050  |  5.449% | 
 | 35   | Victini            |  4.99845% | 34580  |  4.998% | 25768  |  5.005% | 
 | 36   | Alakazam-Mega      |  4.87212% | 33706  |  4.872% | 22041  |  4.281% | 
 | 37   | Kommo-o            |  4.77079% | 33005  |  4.771% | 24141  |  4.689% | 
 | 38   | Dragonite          |  4.68464% | 32409  |  4.685% | 22518  |  4.374% | 
 | 39   | Mawile-Mega        |  4.42908% | 30641  |  4.429% | 22400  |  4.351% | 
 | 40   | Mimikyu            |  4.08043% | 28229  |  4.080% | 19504  |  3.789% | 
 | 41   | Kyurem-Black       |  3.94080% | 27263  |  3.941% | 19385  |  3.765% | 
 | 42   | Infernape          |  3.82140% | 26437  |  3.821% | 20230  |  3.930% | 
 | 43   | Tapu Bulu          |  3.75361% | 25968  |  3.754% | 19426  |  3.773% | 
 | 44   | Blacephalon        |  3.65431% | 25281  |  3.654% | 17425  |  3.385% | 
 | 45   | Gengar             |  3.58145% | 24777  |  3.581% | 17318  |  3.364% | 
 | 46   | Sableye-Mega       |  3.51554% | 24321  |  3.516% | 21206  |  4.119% | 
 | 47   | Keldeo             |  3.37013% | 23315  |  3.370% | 17129  |  3.327% | 
 | 48   | Weavile            |  3.35538% | 23213  |  3.355% | 16709  |  3.246% | 
 | 49   | Jirachi            |  3.25232% | 22500  |  3.252% | 16655  |  3.235% | 
 | 50   | Venusaur-Mega      |  3.24061% | 22419  |  3.241% | 16974  |  3.297% | 
 | 51   | Beedrill-Mega      |  3.23584% | 22386  |  3.236% | 16882  |  3.279% | 
 | 52   | Bisharp            |  3.22601% | 22318  |  3.226% | 15661  |  3.042% | 
 | 53   | Tangrowth          |  3.20216% | 22153  |  3.202% | 16793  |  3.262% | 
 | 54   | Gyarados-Mega      |  3.09303% | 21398  |  3.093% | 15806  |  3.070% | 
 | 55   | Scizor             |  2.96727% | 20528  |  2.967% | 14840  |  2.883% | 
 | 56   | Diancie-Mega       |  2.91957% | 20198  |  2.920% | 15716  |  3.053% | 
 | 57   | Breloom            |  2.84253% | 19665  |  2.843% | 14374  |  2.792% | 
 | 58   | Tyranitar-Mega     |  2.63799% | 18250  |  2.638% | 13571  |  2.636% | 
 | 59   | Manaphy            |  2.47986% | 17156  |  2.480% | 11983  |  2.328% | 
 | 60   | Togekiss           |  2.44719% | 16930  |  2.447% | 12497  |  2.427% | 
 | 61   | Cloyster           |  2.39183% | 16547  |  2.392% | 12322  |  2.393% | 
 | 62   | Pinsir-Mega        |  2.35656% | 16303  |  2.357% | 11406  |  2.216% | 
 | 63   | Snorlax            |  2.31782% | 16035  |  2.318% | 11764  |  2.285% | 
 | 64   | Xurkitree          |  2.31363% | 16006  |  2.314% | 12642  |  2.456% | 
 | 65   | Zeraora            |  2.31204% | 15995  |  2.312% | 11736  |  2.280% | 
 | 66   | Gyarados           |  2.28443% | 15804  |  2.284% | 11744  |  2.281% | 
 | 67   | Staraptor          |  2.25928% | 15630  |  2.259% | 11587  |  2.251% | 
 | 68   | Conkeldurr         |  2.23875% | 15488  |  2.239% | 11414  |  2.217% | 
 | 69   | Lucario            |  2.23167% | 15439  |  2.232% | 11070  |  2.150% | 
 | 70   | Gallade-Mega       |  2.18874% | 15142  |  2.189% | 10799  |  2.098% | 
 | 71   | Garchomp-Mega      |  2.12037% | 14669  |  2.120% | 10584  |  2.056% | 
 | 72   | Hydreigon          |  2.11487% | 14631  |  2.115% | 10641  |  2.067% | 
 | 73   | Shuckle            |  2.11473% | 14630  |  2.115% | 13235  |  2.571% | 
 | 74   | Ninetales-Alola    |  2.09189% | 14472  |  2.092% | 11490  |  2.232% | 
 | 75   | Chandelure         |  2.06125% | 14260  |  2.061% | 10464  |  2.033% | 
 | 76   | Salamence          |  2.05113% | 14190  |  2.051% | 9945   |  1.932% | 
 | 77   | Espeon             |  2.02381% | 14001  |  2.024% | 10274  |  1.996% | 
 | 78   | Goodra             |  1.97900% | 13691  |  1.979% | 9760   |  1.896% | 
 | 79   | Mew                |  1.94633% | 13465  |  1.946% | 10474  |  2.034% | 
 | 80   | Kingdra            |  1.93983% | 13420  |  1.940% | 9349   |  1.816% | 
 | 81   | Nidoking           |  1.87579% | 12977  |  1.876% | 9551   |  1.855% | 
 | 82   | Latios             |  1.80713% | 12502  |  1.807% | 8749   |  1.699% | 
 | 83   | Galvantula         |  1.80453% | 12484  |  1.805% | 10795  |  2.097% | 
 | 84   | Ditto              |  1.80439% | 12483  |  1.804% | 8699   |  1.690% | 
 | 85   | Umbreon            |  1.78010% | 12315  |  1.780% | 8555   |  1.662% | 
 | 86   | Gardevoir-Mega     |  1.74498% | 12072  |  1.745% | 8088   |  1.571% | 
 | 87   | Porygon-Z          |  1.72272% | 11918  |  1.723% | 8446   |  1.641% | 
 | 88   | Milotic            |  1.69598% | 11733  |  1.696% | 8528   |  1.656% | 
 | 89   | Hoopa-Unbound      |  1.68947% | 11688  |  1.689% | 8154   |  1.584% | 
 | 90   | Metagross          |  1.67054% | 11557  |  1.671% | 8430   |  1.637% | 
 | 91   | Amoonguss          |  1.65362% | 11440  |  1.654% | 8398   |  1.631% | 
 | 92   | Venusaur           |  1.63743% | 11328  |  1.637% | 8070   |  1.568% | 
 | 93   | Mamoswine          |  1.63093% | 11283  |  1.631% | 8676   |  1.685% | 
 | 94   | Latias-Mega        |  1.61734% | 11189  |  1.617% | 7970   |  1.548% | 
 | 95   | Sceptile-Mega      |  1.56805% | 10848  |  1.568% | 7664   |  1.489% | 
 | 96   | Manectric-Mega     |  1.56299% | 10813  |  1.563% | 8686   |  1.687% | 
 | 97   | Blissey            |  1.52527% | 10552  |  1.525% | 7508   |  1.458% | 
 | 98   | Arcanine           |  1.52064% | 10520  |  1.521% | 7978   |  1.550% | 
 | 99   | Heracross-Mega     |  1.50315% | 10399  |  1.503% | 7720   |  1.500% | 
 | 100  | Hippowdon          |  1.48407% | 10267  |  1.484% | 8702   |  1.690% | 
 | 101  | Crawdaunt          |  1.46499% | 10135  |  1.465% | 7332   |  1.424% | 
 | 102  | Empoleon           |  1.46253% | 10118  |  1.463% | 7957   |  1.546% | 
 | 103  | Gastrodon          |  1.40413% | 9714   |  1.404% | 7376   |  1.433% | 
 | 104  | Reuniclus          |  1.39893% | 9678   |  1.399% | 6745   |  1.310% | 
 | 105  | Quagsire           |  1.36930% | 9473   |  1.369% | 6834   |  1.327% | 
 | 106  | Torkoal            |  1.35022% | 9341   |  1.350% | 8483   |  1.648% | 
 | 107  | Thundurus-Therian  |  1.34588% | 9311   |  1.346% | 6871   |  1.335% | 
 | 108  | Krookodile         |  1.34559% | 9309   |  1.346% | 6869   |  1.334% | 
 | 109  | Talonflame         |  1.33446% | 9232   |  1.334% | 6600   |  1.282% | 
 | 110  | Marowak-Alola      |  1.32637% | 9176   |  1.326% | 6574   |  1.277% | 
 | 111  | Incineroar         |  1.30136% | 9003   |  1.301% | 6882   |  1.337% | 
 | 112  | Alakazam           |  1.28748% | 8907   |  1.287% | 6037   |  1.173% | 
 | 113  | Slowbro            |  1.28430% | 8885   |  1.284% | 6843   |  1.329% | 
 | 114  | Volcanion          |  1.28315% | 8877   |  1.283% | 6837   |  1.328% | 
 | 115  | Muk-Alola          |  1.27997% | 8855   |  1.280% | 6747   |  1.311% | 
 | 116  | Darmanitan         |  1.27144% | 8796   |  1.271% | 6399   |  1.243% | 
 | 117  | Araquanid          |  1.26378% | 8743   |  1.264% | 7296   |  1.417% | 
 | 118  | Klefki             |  1.20972% | 8369   |  1.210% | 7000   |  1.360% | 
 | 119  | Scolipede          |  1.20798% | 8357   |  1.208% | 5987   |  1.163% | 
 | 120  | Gardevoir          |  1.19830% | 8290   |  1.198% | 5385   |  1.046% | 
 | 121  | Crobat             |  1.18934% | 8228   |  1.189% | 6061   |  1.177% | 
 | 122  | Sylveon            |  1.18341% | 8187   |  1.183% | 5739   |  1.115% | 
 | 123  | Ribombee           |  1.14019% | 7888   |  1.140% | 7008   |  1.361% | 
 | 124  | Starmie            |  1.12024% | 7750   |  1.120% | 5542   |  1.076% | 
 | 125  | Porygon2           |  1.11012% | 7680   |  1.110% | 5892   |  1.144% | 
 | 126  | Jolteon            |  1.10767% | 7663   |  1.108% | 5681   |  1.103% | 
 | 127  | Roserade           |  1.10319% | 7632   |  1.103% | 5627   |  1.093% | 
 | 128  | Cresselia          |  1.06734% | 7384   |  1.067% | 5613   |  1.090% | 
 | 129  | Tentacruel         |  1.05549% | 7302   |  1.055% | 5756   |  1.118% | 
 | 130  | Altaria-Mega       |  1.05158% | 7275   |  1.052% | 5136   |  0.998% | 
 | 131  | Feraligatr         |  1.04898% | 7257   |  1.049% | 5199   |  1.010% | 
 | 132  | Azelf              |  1.03279% | 7145   |  1.033% | 6455   |  1.254% | 
 | 133  | Salazzle           |  1.02932% | 7121   |  1.029% | 5278   |  1.025% | 
 | 134  | Rotom-Heat         |  1.02831% | 7114   |  1.028% | 5490   |  1.066% | 
 | 135  | Diggersby          |  0.99333% | 6872   |  0.993% | 4796   |  0.932% | 
 | 136  | Swampert           |  0.99058% | 6853   |  0.991% | 5473   |  1.063% | 
 | 137  | Buzzwole           |  0.98234% | 6796   |  0.982% | 4818   |  0.936% | 
 | 138  | Mandibuzz          |  0.98090% | 6786   |  0.981% | 4963   |  0.964% | 
 | 139  | Haxorus            |  0.97989% | 6779   |  0.980% | 4321   |  0.839% | 
 | 140  | Lycanroc-Dusk      |  0.97338% | 6734   |  0.973% | 4697   |  0.912% | 
 | 141  | Pidgeot-Mega       |  0.96948% | 6707   |  0.969% | 5041   |  0.979% | 
 | 142  | Aerodactyl-Mega    |  0.96341% | 6665   |  0.963% | 4732   |  0.919% | 
 | 143  | Nihilego           |  0.94390% | 6530   |  0.944% | 4940   |  0.960% | 
 | 144  | Cofagrigus         |  0.91918% | 6359   |  0.919% | 4806   |  0.934% | 
 | 145  | Aggron-Mega        |  0.91455% | 6327   |  0.915% | 5071   |  0.985% | 
 | 146  | Primarina          |  0.91166% | 6307   |  0.912% | 4480   |  0.870% | 
 | 147  | Noivern            |  0.90588% | 6267   |  0.906% | 4556   |  0.885% | 
 | 148  | Decidueye          |  0.89793% | 6212   |  0.898% | 4332   |  0.841% | 
 | 149  | Latias             |  0.88969% | 6155   |  0.890% | 4148   |  0.806% | 
 | 150  | Zoroark            |  0.88839% | 6146   |  0.888% | 2719   |  0.528% | 
 | 151  | Forretress         |  0.86801% | 6005   |  0.868% | 5108   |  0.992% | 
 | 152  | Suicune            |  0.85775% | 5934   |  0.858% | 4122   |  0.801% | 
 | 153  | Thundurus          |  0.84430% | 5841   |  0.844% | 4434   |  0.861% | 
 | 154  | Latios-Mega        |  0.83361% | 5767   |  0.834% | 4233   |  0.822% | 
 | 155  | Pikachu            |  0.81771% | 5657   |  0.818% | 4280   |  0.831% | 
 | 156  | Ambipom            |  0.79834% | 5523   |  0.798% | 4339   |  0.843% | 
 | 157  | Flygon             |  0.79573% | 5505   |  0.796% | 4153   |  0.807% | 
 | 158  | Electivire         |  0.79313% | 5487   |  0.793% | 4010   |  0.779% | 
 | 159  | Machamp            |  0.77954% | 5393   |  0.780% | 4029   |  0.783% | 
 | 160  | Vaporeon           |  0.75700% | 5237   |  0.757% | 3968   |  0.771% | 
 | 161  | Sceptile           |  0.75410% | 5217   |  0.754% | 3676   |  0.714% | 
 | 162  | Blastoise-Mega     |  0.75208% | 5203   |  0.752% | 3864   |  0.751% | 
 | 163  | Swellow            |  0.74702% | 5168   |  0.747% | 3565   |  0.692% | 
 | 164  | Alomomola          |  0.72548% | 5019   |  0.725% | 3764   |  0.731% | 
 | 165  | Slurpuff           |  0.71594% | 4953   |  0.716% | 3666   |  0.712% | 
 | 166  | Ludicolo           |  0.71493% | 4946   |  0.715% | 3520   |  0.684% | 
 | 167  | Sharpedo-Mega      |  0.70727% | 4893   |  0.707% | 3536   |  0.687% | 
 | 168  | Whimsicott         |  0.70467% | 4875   |  0.705% | 3817   |  0.741% | 
 | 169  | Absol-Mega         |  0.69542% | 4811   |  0.695% | 3818   |  0.742% | 
 | 170  | Golisopod          |  0.69412% | 4802   |  0.694% | 3609   |  0.701% | 
 | 171  | Froslass           |  0.66998% | 4635   |  0.670% | 3647   |  0.708% | 
 | 172  | Ninetales          |  0.66897% | 4628   |  0.669% | 3514   |  0.683% | 
 | 173  | Smeargle           |  0.66665% | 4612   |  0.667% | 3989   |  0.775% | 
 | 174  | Linoone            |  0.65856% | 4556   |  0.659% | 3346   |  0.650% | 
 | 175  | Toxicroak          |  0.65263% | 4515   |  0.653% | 3296   |  0.640% | 
 | 176  | Mienshao           |  0.64858% | 4487   |  0.649% | 3313   |  0.644% | 
 | 177  | Malamar            |  0.63890% | 4420   |  0.639% | 3198   |  0.621% | 
 | 178  | Seismitoad         |  0.63312% | 4380   |  0.633% | 3628   |  0.705% | 
 | 179  | Heracross          |  0.63138% | 4368   |  0.631% | 2937   |  0.570% | 
 | 180  | Houndoom-Mega      |  0.62242% | 4306   |  0.622% | 3075   |  0.597% | 
 | 181  | Politoed           |  0.61722% | 4270   |  0.617% | 3604   |  0.700% | 
 | 182  | Eelektross         |  0.61577% | 4260   |  0.616% | 3328   |  0.646% | 
 | 183  | Bronzong           |  0.60840% | 4209   |  0.608% | 3692   |  0.717% | 
 | 184  | Shedinja           |  0.60262% | 4169   |  0.603% | 3010   |  0.585% | 
 | 185  | Charizard          |  0.59886% | 4143   |  0.599% | 3073   |  0.597% | 
 | 186  | Drapion            |  0.59669% | 4128   |  0.597% | 2949   |  0.573% | 
 | 187  | Rhyperior          |  0.58643% | 4057   |  0.586% | 3138   |  0.610% | 
 | 188  | Aerodactyl         |  0.57443% | 3974   |  0.574% | 3424   |  0.665% | 
 | 189  | Raichu-Alola       |  0.57024% | 3945   |  0.570% | 2746   |  0.533% | 
 | 190  | Typhlosion         |  0.55738% | 3856   |  0.557% | 2807   |  0.545% | 
 | 191  | Lapras             |  0.55217% | 3820   |  0.552% | 2848   |  0.553% | 
 | 192  | Blastoise          |  0.54509% | 3771   |  0.545% | 2857   |  0.555% | 
 | 193  | Donphan            |  0.54278% | 3755   |  0.543% | 3038   |  0.590% | 
 | 194  | Kyurem             |  0.53078% | 3672   |  0.531% | 2547   |  0.495% | 
 | 195  | Mantine            |  0.52832% | 3655   |  0.528% | 2726   |  0.530% | 
 | 196  | Heliolisk          |  0.52702% | 3646   |  0.527% | 2483   |  0.482% | 
 | 197  | Uxie               |  0.52413% | 3626   |  0.524% | 3344   |  0.650% | 
 | 198  | Stakataka          |  0.51893% | 3590   |  0.519% | 2726   |  0.530% | 
 | 199  | Yanmega            |  0.50274% | 3478   |  0.503% | 2531   |  0.492% | 
 | 200  | Torterra           |  0.50274% | 3478   |  0.503% | 2666   |  0.518% | 
 | 201  | Chesnaught         |  0.49349% | 3414   |  0.493% | 2498   |  0.485% | 
 | 202  | Dusclops           |  0.49262% | 3408   |  0.493% | 2743   |  0.533% | 
 | 203  | Banette-Mega       |  0.49175% | 3402   |  0.492% | 2669   |  0.518% | 
 | 204  | Florges            |  0.48351% | 3345   |  0.484% | 2290   |  0.445% | 
 | 205  | Slowbro-Mega       |  0.48351% | 3345   |  0.484% | 2443   |  0.475% | 
 | 206  | Ampharos-Mega      |  0.47932% | 3316   |  0.479% | 2449   |  0.476% | 
 | 207  | Zygarde-10%        |  0.46414% | 3211   |  0.464% | 2308   |  0.448% | 
 | 208  | Aggron             |  0.43263% | 2993   |  0.433% | 2247   |  0.436% | 
 | 209  | Minior             |  0.43147% | 2985   |  0.431% | 2184   |  0.424% | 
 | 210  | Xatu               |  0.42960% | 2972   |  0.430% | 2155   |  0.419% | 
 | 211  | Sigilyph           |  0.42772% | 2959   |  0.428% | 2179   |  0.423% | 
