 Total battles: 338350
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 21.93188% | 148413 | 21.932% | 125730 | 24.776% | 
 | 2    | Greninja-Ash       | 16.15516% | 109322 | 16.155% | 79356  | 15.638% | 
 | 3    | Ferrothorn         | 14.66041% | 99207  | 14.660% | 82465  | 16.250% | 
 | 4    | Tapu Koko          | 11.78691% | 79762  | 11.787% | 62982  | 12.411% | 
 | 5    | Heatran            | 11.74834% | 79501  | 11.748% | 64149  | 12.641% | 
 | 6    | Magearna           | 10.50997% | 71121  | 10.510% | 56479  | 11.130% | 
 | 7    | Gliscor            | 10.38747% | 70292  | 10.387% | 53196  | 10.483% | 
 | 8    | Kartana            | 10.24294% | 69314  | 10.243% | 50491  |  9.950% | 
 | 9    | Serperior          |  9.87010% | 66791  |  9.870% | 47477  |  9.356% | 
 | 10   | Rotom-Wash         |  9.31905% | 63062  |  9.319% | 51604  | 10.169% | 
 | 11   | Garchomp           |  9.24206% | 62541  |  9.242% | 47675  |  9.395% | 
 | 12   | Chansey            |  9.00310% | 60924  |  9.003% | 46433  |  9.150% | 
 | 13   | Toxapex            |  8.61549% | 58301  |  8.615% | 44457  |  8.761% | 
 | 14   | Excadrill          |  8.21162% | 55568  |  8.212% | 42696  |  8.414% | 
 | 15   | Tapu Lele          |  7.55061% | 51095  |  7.551% | 37786  |  7.446% | 
 | 16   | Zapdos             |  7.20689% | 48769  |  7.207% | 38758  |  7.638% | 
 | 17   | Greninja           |  7.17231% | 48535  |  7.172% | 35578  |  7.011% | 
 | 18   | Charizard-Mega-X   |  6.83094% | 46225  |  6.831% | 34088  |  6.717% | 
 | 19   | Clefable           |  6.77302% | 45833  |  6.773% | 32576  |  6.419% | 
 | 20   | Tornadus-Therian   |  6.74849% | 45667  |  6.748% | 34962  |  6.890% | 
 | 21   | Skarmory           |  6.60573% | 44701  |  6.606% | 36548  |  7.202% | 
 | 22   | Hawlucha           |  6.27501% | 42463  |  6.275% | 29082  |  5.731% | 
 | 23   | Volcarona          |  6.25151% | 42304  |  6.252% | 29526  |  5.818% | 
 | 24   | Pelipper           |  6.15354% | 41641  |  6.154% | 38070  |  7.502% | 
 | 25   | Swampert-Mega      |  6.13211% | 41496  |  6.132% | 32731  |  6.450% | 
