 Total battles: 2005100
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 27.22006% | 1091579 | 27.220% | 934242 | 30.406% | 
 | 2    | Greninja-Ash       | 16.03274% | 642945 | 16.033% | 465700 | 15.157% | 
 | 3    | Ferrothorn         | 15.37759% | 616672 | 15.378% | 523679 | 17.044% | 
 | 4    | Tapu Koko          | 14.51571% | 582109 | 14.516% | 461697 | 15.027% | 
 | 5    | Heatran            | 13.77328% | 552336 | 13.773% | 452782 | 14.736% | 
 | 6    | Magearna           | 12.11655% | 485898 | 12.117% | 384254 | 12.506% | 
 | 7    | Kartana            | 11.48818% | 460699 | 11.488% | 335951 | 10.934% | 
 | 8    | Garchomp           |  9.77191% | 391873 |  9.772% | 308156 | 10.029% | 
 | 9    | Toxapex            |  9.65286% | 387099 |  9.653% | 299723 |  9.755% | 
 | 10   | Gliscor            |  9.49544% | 380786 |  9.495% | 295077 |  9.604% | 
 | 11   | Rotom-Wash         |  9.44105% | 378605 |  9.441% | 316575 | 10.303% | 
 | 12   | Tapu Lele          |  9.41958% | 377744 |  9.420% | 282134 |  9.182% | 
 | 13   | Serperior          |  9.34826% | 374884 |  9.348% | 272031 |  8.854% | 
 | 14   | Zapdos             |  9.11117% | 365376 |  9.111% | 291247 |  9.479% | 
 | 15   | Greninja           |  8.97818% | 360043 |  8.978% | 272244 |  8.861% | 
 | 16   | Tornadus-Therian   |  8.04523% | 322630 |  8.045% | 250457 |  8.151% | 
 | 17   | Excadrill          |  7.94003% | 318411 |  7.940% | 248894 |  8.101% | 
 | 18   | Chansey            |  7.51142% | 301223 |  7.511% | 227799 |  7.414% | 
 | 19   | Volcarona          |  7.40178% | 296826 |  7.402% | 212808 |  6.926% | 
 | 20   | Tapu Fini          |  7.17338% | 287667 |  7.173% | 234704 |  7.639% | 
 | 21   | Tapu Bulu          |  6.92676% | 277777 |  6.927% | 211554 |  6.885% | 
 | 22   | Charizard-Mega-X   |  6.78966% | 272279 |  6.790% | 202398 |  6.587% | 
 | 23   | Celesteela         |  6.78804% | 272214 |  6.788% | 215844 |  7.025% | 
 | 24   | Hawlucha           |  6.59059% | 264296 |  6.591% | 179805 |  5.852% | 
 | 25   | Victini            |  6.42724% | 257745 |  6.427% | 197963 |  6.443% | 
 | 26   | Magnezone          |  6.24418% | 250404 |  6.244% | 194787 |  6.340% | 
 | 27   | Clefable           |  5.86198% | 235077 |  5.862% | 172950 |  5.629% | 
 | 28   | Lopunny-Mega       |  5.80141% | 232648 |  5.801% | 178997 |  5.826% | 
 | 29   | Tyranitar          |  5.79550% | 232411 |  5.795% | 183017 |  5.957% | 
 | 30   | Alakazam-Mega      |  5.72044% | 229401 |  5.720% | 151254 |  4.923% | 
 | 31   | Kommo-o            |  5.68770% | 228088 |  5.688% | 167956 |  5.466% | 
 | 32   | Skarmory           |  5.31669% | 213210 |  5.317% | 176097 |  5.731% | 
 | 33   | Mawile-Mega        |  5.29173% | 212209 |  5.292% | 155708 |  5.068% | 
 | 34   | Scizor-Mega        |  5.23532% | 209947 |  5.235% | 160099 |  5.211% | 
 | 35   | Pelipper           |  5.18737% | 208024 |  5.187% | 189982 |  6.183% | 
 | 36   | Swampert-Mega      |  5.17326% | 207458 |  5.173% | 168375 |  5.480% | 
 | 37   | Medicham-Mega      |  5.16296% | 207045 |  5.163% | 162078 |  5.275% | 
 | 38   | Charizard-Mega-Y   |  5.04621% | 202363 |  5.046% | 158691 |  5.165% | 
 | 39   | Kyurem-Black       |  4.72530% | 189494 |  4.725% | 139959 |  4.555% | 
 | 40   | Tangrowth          |  4.72331% | 189414 |  4.723% | 145520 |  4.736% | 
 | 41   | Azumarill          |  4.57274% | 183376 |  4.573% | 137356 |  4.470% | 
 | 42   | Blacephalon        |  4.56062% | 182890 |  4.561% | 131009 |  4.264% | 
 | 43   | Dragonite          |  4.48042% | 179674 |  4.480% | 129501 |  4.215% | 
 | 44   | Jirachi            |  4.40202% | 176530 |  4.402% | 133980 |  4.361% | 
 | 45   | Venusaur-Mega      |  3.79223% | 152076 |  3.792% | 117722 |  3.831% | 
 | 46   | Tyranitar-Mega     |  3.74802% | 150303 |  3.748% | 113593 |  3.697% | 
 | 47   | Diancie-Mega       |  3.70777% | 148689 |  3.708% | 119566 |  3.891% | 
