 Total battles: 301087
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 21.80732% | 131318 | 21.807% | 111354 | 24.745% | 
 | 2    | Greninja-Ash       | 16.31173% | 98225  | 16.312% | 71181  | 15.818% | 
 | 3    | Ferrothorn         | 14.10738% | 84951  | 14.107% | 71339  | 15.853% | 
 | 4    | Tapu Koko          | 12.62957% | 76052  | 12.630% | 60283  | 13.396% | 
 | 5    | Heatran            | 11.81436% | 71143  | 11.814% | 57082  | 12.685% | 
 | 6    | Kartana            | 10.76267% | 64810  | 10.763% | 46820  | 10.404% | 
 | 7    | Gliscor            | 10.38072% | 62510  | 10.381% | 47290  | 10.509% | 
 | 8    | Magearna           |  9.61998% | 57929  |  9.620% | 45847  | 10.188% | 
 | 9    | Garchomp           |  9.59125% | 57756  |  9.591% | 43370  |  9.638% | 
 | 10   | Serperior          |  9.55006% | 57508  |  9.550% | 40802  |  9.067% | 
 | 11   | Rotom-Wash         |  9.06980% | 54616  |  9.070% | 44761  |  9.947% | 
 | 12   | Chansey            |  8.93346% | 53795  |  8.933% | 41213  |  9.158% | 
 | 13   | Excadrill          |  8.08072% | 48660  |  8.081% | 37080  |  8.240% | 
 | 14   | Toxapex            |  7.89074% | 47516  |  7.891% | 36138  |  8.031% | 
 | 15   | Greninja           |  7.61524% | 45857  |  7.615% | 33853  |  7.523% | 
 | 16   | Tornadus-Therian   |  6.95430% | 41877  |  6.954% | 32022  |  7.116% | 
 | 17   | Tapu Lele          |  6.87609% | 41406  |  6.876% | 31053  |  6.901% | 
 | 18   | Charizard-Mega-X   |  6.69325% | 40305  |  6.693% | 29657  |  6.590% | 
 | 19   | Zapdos             |  6.45843% | 38891  |  6.458% | 30541  |  6.787% | 
 | 20   | Charizard-Mega-Y   |  6.44100% | 38786  |  6.441% | 30360  |  6.747% | 
