 Total battles: 251444
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 23.99819% | 120684 | 23.998% | 102283 | 26.807% | 
 | 2    | Greninja-Ash       | 18.13784% | 91213  | 18.138% | 66133  | 17.333% | 
 | 3    | Ferrothorn         | 16.53549% | 83155  | 16.535% | 69878  | 18.314% | 
 | 4    | Heatran            | 12.61096% | 63419  | 12.611% | 50753  | 13.302% | 
 | 5    | Tapu Koko          | 12.49324% | 62827  | 12.493% | 49926  | 13.085% | 
 | 6    | Magearna           | 12.48151% | 62768  | 12.482% | 49894  | 13.077% | 
 | 7    | Kartana            | 11.86467% | 59666  | 11.865% | 43126  | 11.303% | 
 | 8    | Gliscor            | 11.03685% | 55503  | 11.037% | 42293  | 11.084% | 
 | 9    | Chansey            |  9.82286% | 49398  |  9.823% | 37990  |  9.957% | 
 | 10   | Rotom-Wash         |  9.76559% | 49110  |  9.766% | 40836  | 10.703% | 
 | 11   | Serperior          |  9.74988% | 49031  |  9.750% | 35095  |  9.198% | 
 | 12   | Garchomp           |  9.09109% | 45718  |  9.091% | 35421  |  9.283% | 
 | 13   | Toxapex            |  8.93022% | 44909  |  8.930% | 34156  |  8.952% | 
 | 14   | Excadrill          |  8.24239% | 41450  |  8.242% | 31849  |  8.347% | 
 | 15   | Tapu Lele          |  8.15927% | 41032  |  8.159% | 30975  |  8.118% | 
 | 16   | Tornadus-Therian   |  7.93775% | 39918  |  7.938% | 31031  |  8.133% | 
 | 17   | Pelipper           |  7.81864% | 39319  |  7.819% | 35748  |  9.369% | 
 | 18   | Greninja           |  7.78464% | 39148  |  7.785% | 29205  |  7.654% | 
 | 19   | Skarmory           |  7.23282% | 36373  |  7.233% | 29982  |  7.858% | 
 | 20   | Swampert-Mega      |  7.05425% | 35475  |  7.054% | 28293  |  7.415% | 
 | 21   | Clefable           |  6.96656% | 35034  |  6.967% | 25107  |  6.580% | 
 | 22   | Hawlucha           |  6.96179% | 35010  |  6.962% | 23497  |  6.158% | 
 | 23   | Charizard-Mega-X   |  6.81802% | 34287  |  6.818% | 25451  |  6.670% | 
 | 24   | Zapdos             |  6.71601% | 33774  |  6.716% | 26799  |  7.024% | 
 | 25   | Volcarona          |  6.26124% | 31487  |  6.261% | 21771  |  5.706% | 
 | 26   | Tapu Fini          |  5.96952% | 30020  |  5.970% | 24455  |  6.409% | 
 | 27   | Lopunny-Mega       |  5.93611% | 29852  |  5.936% | 23091  |  6.052% | 
 | 28   | Charizard-Mega-Y   |  5.84663% | 29402  |  5.847% | 23011  |  6.031% | 
 | 29   | Kommo-o            |  5.54159% | 27868  |  5.542% | 20346  |  5.332% | 
 | 30   | Medicham-Mega      |  5.49069% | 27612  |  5.491% | 22387  |  5.867% | 
 | 31   | Tyranitar          |  5.40796% | 27196  |  5.408% | 21141  |  5.541% | 
 | 32   | Magnezone          |  5.28289% | 26567  |  5.283% | 20218  |  5.299% | 
 | 33   | Azumarill          |  5.28030% | 26554  |  5.280% | 19531  |  5.119% | 
 | 34   | Celesteela         |  5.12202% | 25758  |  5.122% | 19955  |  5.230% | 
 | 35   | Alakazam-Mega      |  5.07230% | 25508  |  5.072% | 17402  |  4.561% | 
 | 36   | Scizor-Mega        |  4.95180% | 24902  |  4.952% | 19258  |  5.047% | 
 | 37   | Mawile-Mega        |  4.82931% | 24286  |  4.829% | 17968  |  4.709% | 
 | 38   | Victini            |  4.77741% | 24025  |  4.777% | 18234  |  4.779% | 
 | 39   | Dragonite          |  4.50955% | 22678  |  4.510% | 15772  |  4.134% | 
 | 40   | Venusaur-Mega      |  4.38567% | 22055  |  4.386% | 17859  |  4.681% | 
 | 41   | Keldeo             |  4.33436% | 21797  |  4.334% | 17471  |  4.579% | 
 | 42   | Kyurem-Black       |  4.31468% | 21698  |  4.315% | 15875  |  4.161% | 
 | 43   | Bisharp            |  4.23295% | 21287  |  4.233% | 15324  |  4.016% | 
 | 44   | Sableye-Mega       |  3.78275% | 19023  |  3.783% | 16758  |  4.392% | 
 | 45   | Tapu Bulu          |  3.73065% | 18761  |  3.731% | 14349  |  3.761% | 
 | 46   | Mimikyu            |  3.70281% | 18621  |  3.703% | 12884  |  3.377% | 
 | 47   | Blacephalon        |  3.54194% | 17812  |  3.542% | 12872  |  3.374% | 
 | 48   | Diancie-Mega       |  3.39121% | 17054  |  3.391% | 13874  |  3.636% | 
 | 49   | Weavile            |  3.31525% | 16672  |  3.315% | 12153  |  3.185% | 
 | 50   | Manaphy            |  3.26633% | 16426  |  3.266% | 11559  |  3.029% | 
 | 51   | Beedrill-Mega      |  3.23750% | 16281  |  3.238% | 12438  |  3.260% | 
 | 52   | Tangrowth          |  3.20031% | 16094  |  3.200% | 12198  |  3.197% | 
 | 53   | Jirachi            |  3.04004% | 15288  |  3.040% | 11789  |  3.090% | 
 | 54   | Infernape          |  2.99609% | 15067  |  2.996% | 11277  |  2.956% | 
 | 55   | Breloom            |  2.81156% | 14139  |  2.812% | 10157  |  2.662% | 
 | 56   | Gengar             |  2.72049% | 13681  |  2.720% | 9699   |  2.542% | 
 | 57   | Scizor             |  2.63359% | 13244  |  2.634% | 9886   |  2.591% | 
