 Total battles: 443790
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 21.96208% | 194931 | 21.962% | 165018 | 24.872% | 
 | 2    | Greninja-Ash       | 16.27459% | 144450 | 16.275% | 103207 | 15.556% | 
 | 3    | Ferrothorn         | 15.15965% | 134554 | 15.160% | 112506 | 16.957% | 
 | 4    | Tapu Koko          | 12.75671% | 113226 | 12.757% | 88810  | 13.386% | 
 | 5    | Heatran            | 11.92974% | 105886 | 11.930% | 84965  | 12.806% | 
 | 6    | Kartana            | 11.17330% | 99172  | 11.173% | 71321  | 10.750% | 
 | 7    | Garchomp           | 10.00406% | 88794  | 10.004% | 67321  | 10.147% | 
 | 8    | Serperior          |  9.76723% | 86692  |  9.767% | 61299  |  9.239% | 
 | 9    | Gliscor            |  9.65040% | 85655  |  9.650% | 64903  |  9.782% | 
 | 10   | Toxapex            |  9.44399% | 83823  |  9.444% | 63464  |  9.565% | 
 | 11   | Magearna           |  9.30294% | 82571  |  9.303% | 64294  |  9.691% | 
 | 12   | Rotom-Wash         |  9.17382% | 81425  |  9.174% | 66496  | 10.022% | 
 | 13   | Greninja           |  8.71786% | 77378  |  8.718% | 56742  |  8.552% | 
 | 14   | Chansey            |  8.38561% | 74429  |  8.386% | 55077  |  8.301% | 
 | 15   | Excadrill          |  8.03804% | 71344  |  8.038% | 53377  |  8.045% | 
 | 16   | Tapu Lele          |  7.86949% | 69848  |  7.869% | 52464  |  7.907% | 
 | 17   | Volcarona          |  7.28486% | 64659  |  7.285% | 44977  |  6.779% | 
 | 18   | Charizard-Mega-X   |  6.97165% | 61879  |  6.972% | 46017  |  6.936% | 
 | 19   | Zapdos             |  6.96208% | 61794  |  6.962% | 49015  |  7.388% | 
 | 20   | Clefable           |  6.79454% | 60307  |  6.795% | 42576  |  6.417% | 
 | 21   | Hawlucha           |  6.57203% | 58332  |  6.572% | 39546  |  5.960% | 
 | 22   | Charizard-Mega-Y   |  6.12621% | 54375  |  6.126% | 41575  |  6.266% | 
 | 23   | Celesteela         |  6.12215% | 54339  |  6.122% | 41697  |  6.285% | 
 | 24   | Lopunny-Mega       |  5.97760% | 53056  |  5.978% | 40617  |  6.122% | 
 | 25   | Tornadus-Therian   |  5.92454% | 52585  |  5.925% | 39577  |  5.965% | 
 | 26   | Pelipper           |  5.86595% | 52065  |  5.866% | 47340  |  7.135% | 
 | 27   | Tapu Fini          |  5.72546% | 50818  |  5.725% | 40910  |  6.166% | 
 | 28   | Swampert-Mega      |  5.59341% | 49646  |  5.593% | 39008  |  5.879% | 
 | 29   | Magnezone          |  5.43624% | 48251  |  5.436% | 36433  |  5.491% | 
 | 30   | Tyranitar          |  5.36966% | 47660  |  5.370% | 36536  |  5.507% | 
 | 31   | Skarmory           |  5.32268% | 47243  |  5.323% | 38162  |  5.752% | 
 | 32   | Dragonite          |  5.29710% | 47016  |  5.297% | 33117  |  4.991% | 
 | 33   | Scizor-Mega        |  5.19671% | 46125  |  5.197% | 34663  |  5.224% | 
 | 34   | Mawile-Mega        |  5.16652% | 45857  |  5.167% | 33758  |  5.088% | 
 | 35   | Alakazam-Mega      |  5.15244% | 45732  |  5.152% | 30139  |  4.543% | 
 | 36   | Victini            |  5.15142% | 45723  |  5.151% | 34002  |  5.125% | 
 | 37   | Azumarill          |  4.93082% | 43765  |  4.931% | 32061  |  4.832% | 
 | 38   | Medicham-Mega      |  4.79371% | 42548  |  4.794% | 33012  |  4.976% | 
 | 39   | Kommo-o            |  4.63102% | 41104  |  4.631% | 28924  |  4.359% | 
 | 40   | Kyurem-Black       |  4.23759% | 37612  |  4.238% | 26635  |  4.014% | 
 | 41   | Mimikyu            |  4.20503% | 37323  |  4.205% | 26387  |  3.977% | 
