 Total battles: 339194
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 19.62874% | 133159 | 19.629% | 111672 | 22.171% | 
 | 2    | Greninja-Ash       | 15.57309% | 105646 | 15.573% | 75361  | 14.962% | 
 | 3    | Ferrothorn         | 14.16240% | 96076  | 14.162% | 79509  | 15.786% | 
 | 4    | Tapu Koko          | 12.04709% | 81726  | 12.047% | 64257  | 12.757% | 
 | 5    | Heatran            | 11.47632% | 77854  | 11.476% | 61796  | 12.269% | 
 | 6    | Kartana            | 10.36398% | 70308  | 10.364% | 50145  |  9.956% | 
 | 7    | Gliscor            |  9.83331% | 66708  |  9.833% | 50026  |  9.932% | 
 | 8    | Garchomp           |  9.29217% | 63037  |  9.292% | 47892  |  9.508% | 
 | 9    | Serperior          |  9.15685% | 62119  |  9.157% | 43980  |  8.732% | 
 | 10   | Rotom-Wash         |  8.98955% | 60984  |  8.990% | 49900  |  9.907% | 
 | 11   | Magearna           |  8.62044% | 58480  |  8.620% | 45893  |  9.111% | 
 | 12   | Toxapex            |  8.47008% | 57460  |  8.470% | 43638  |  8.664% | 
 | 13   | Excadrill          |  8.12735% | 55135  |  8.127% | 41584  |  8.256% | 
 | 14   | Greninja           |  7.97803% | 54122  |  7.978% | 39360  |  7.814% | 
 | 15   | Chansey            |  7.59772% | 51542  |  7.598% | 38076  |  7.560% | 
 | 16   | Charizard-Mega-X   |  7.49542% | 50848  |  7.495% | 37172  |  7.380% | 
 | 17   | Tapu Lele          |  7.39857% | 50191  |  7.399% | 36931  |  7.332% | 
 | 18   | Zapdos             |  6.89163% | 46752  |  6.892% | 36560  |  7.259% | 
 | 19   | Clefable           |  6.75145% | 45801  |  6.751% | 32838  |  6.520% | 
 | 20   | Volcarona          |  6.53446% | 44329  |  6.534% | 30088  |  5.974% | 
 | 21   | Hawlucha           |  5.89987% | 40024  |  5.900% | 26994  |  5.359% | 
 | 22   | Charizard-Mega-Y   |  5.86036% | 39756  |  5.860% | 30316  |  6.019% | 
 | 23   | Tornadus-Therian   |  5.83737% | 39600  |  5.837% | 29646  |  5.886% | 
 | 24   | Celesteela         |  5.79668% | 39324  |  5.797% | 29958  |  5.948% | 
 | 25   | Dragonite          |  5.73580% | 38911  |  5.736% | 27375  |  5.435% | 
 | 26   | Scizor-Mega        |  5.68215% | 38547  |  5.682% | 28832  |  5.724% | 
 | 27   | Swampert-Mega      |  5.52796% | 37501  |  5.528% | 29513  |  5.859% | 
 | 28   | Azumarill          |  5.50334% | 37334  |  5.503% | 27162  |  5.393% | 
 | 29   | Skarmory           |  5.47799% | 37162  |  5.478% | 30099  |  5.976% | 
 | 30   | Tyranitar          |  5.46737% | 37090  |  5.467% | 28278  |  5.614% | 
 | 31   | Pelipper           |  5.46207% | 37054  |  5.462% | 33699  |  6.691% | 
 | 32   | Magnezone          |  5.35180% | 36306  |  5.352% | 27487  |  5.457% | 
 | 33   | Lopunny-Mega       |  5.22931% | 35475  |  5.229% | 27477  |  5.455% | 
 | 34   | Kommo-o            |  5.05714% | 34307  |  5.057% | 25313  |  5.026% | 
 | 35   | Alakazam-Mega      |  4.95483% | 33613  |  4.955% | 21773  |  4.323% | 
 | 36   | Mimikyu            |  4.80123% | 32571  |  4.801% | 22918  |  4.550% | 
 | 37   | Tapu Fini          |  4.65913% | 31607  |  4.659% | 25249  |  5.013% | 
 | 38   | Victini            |  4.43168% | 30064  |  4.432% | 22338  |  4.435% | 
 | 39   | Mawile-Mega        |  4.39616% | 29823  |  4.396% | 21868  |  4.342% | 
 | 40   | Medicham-Mega      |  4.35400% | 29537  |  4.354% | 23097  |  4.586% | 
 | 41   | Tapu Bulu          |  3.99417% | 27096  |  3.994% | 19847  |  3.940% | 
 | 42   | Gengar             |  3.88288% | 26341  |  3.883% | 18364  |  3.646% | 
 | 43   | Kyurem-Black       |  3.84971% | 26116  |  3.850% | 18825  |  3.737% | 
 | 44   | Blacephalon        |  3.58983% | 24353  |  3.590% | 16989  |  3.373% | 
 | 45   | Infernape          |  3.46763% | 23524  |  3.468% | 18031  |  3.580% | 
 | 46   | Gyarados-Mega      |  3.45599% | 23445  |  3.456% | 16977  |  3.371% | 
 | 47   | Bisharp            |  3.40646% | 23109  |  3.406% | 15595  |  3.096% | 
 | 48   | Tangrowth          |  3.35383% | 22752  |  3.354% | 16942  |  3.364% | 
 | 49   | Sableye-Mega       |  3.22352% | 21868  |  3.224% | 19053  |  3.783% | 
 | 50   | Weavile            |  3.21895% | 21837  |  3.219% | 15670  |  3.111% | 
 | 51   | Venusaur-Mega      |  3.17105% | 21512  |  3.171% | 16203  |  3.217% | 
 | 52   | Beedrill-Mega      |  3.06609% | 20800  |  3.066% | 15460  |  3.069% | 
 | 53   | Keldeo             |  3.04988% | 20690  |  3.050% | 15117  |  3.001% | 
 | 54   | Scizor             |  2.92664% | 19854  |  2.927% | 14608  |  2.900% | 
 | 55   | Jirachi            |  2.85957% | 19399  |  2.860% | 14371  |  2.853% | 
 | 56   | Breloom            |  2.78720% | 18908  |  2.787% | 13630  |  2.706% | 
 | 57   | Conkeldurr         |  2.73885% | 18580  |  2.739% | 13659  |  2.712% | 
 | 58   | Diancie-Mega       |  2.69580% | 18288  |  2.696% | 14370  |  2.853% | 
 | 59   | Cloyster           |  2.61237% | 17722  |  2.612% | 13116  |  2.604% | 
 | 60   | Zeraora            |  2.54206% | 17245  |  2.542% | 12601  |  2.502% | 
 | 61   | Togekiss           |  2.51832% | 17084  |  2.518% | 12533  |  2.488% | 
 | 62   | Tyranitar-Mega     |  2.50830% | 17016  |  2.508% | 12804  |  2.542% | 
 | 63   | Salamence          |  2.47056% | 16760  |  2.471% | 11549  |  2.293% | 
 | 64   | Garchomp-Mega      |  2.46452% | 16719  |  2.465% | 11920  |  2.367% | 
 | 65   | Gyarados           |  2.41720% | 16398  |  2.417% | 11862  |  2.355% | 
 | 66   | Pinsir-Mega        |  2.33347% | 15830  |  2.333% | 10739  |  2.132% | 
 | 67   | Snorlax            |  2.30281% | 15622  |  2.303% | 11530  |  2.289% | 
 | 68   | Gallade-Mega       |  2.24016% | 15197  |  2.240% | 10766  |  2.137% | 
 | 69   | Chandelure         |  2.23029% | 15130  |  2.230% | 10771  |  2.138% | 
 | 70   | Shuckle            |  2.22085% | 15066  |  2.221% | 13280  |  2.637% | 
 | 71   | Lucario            |  2.21039% | 14995  |  2.210% | 10549  |  2.094% | 
 | 72   | Kingdra            |  2.11369% | 14339  |  2.114% | 9905   |  1.967% | 
 | 73   | Espeon             |  2.11000% | 14314  |  2.110% | 10301  |  2.045% | 
 | 74   | Ditto              |  2.05074% | 13912  |  2.051% | 10244  |  2.034% | 
 | 75   | Hydreigon          |  2.04028% | 13841  |  2.040% | 9876   |  1.961% | 
 | 76   | Staraptor          |  2.03379% | 13797  |  2.034% | 9975   |  1.980% | 
 | 77   | Ninetales-Alola    |  2.03232% | 13787  |  2.032% | 10987  |  2.181% | 
 | 78   | Venusaur           |  2.00136% | 13577  |  2.001% | 9862   |  1.958% | 
 | 79   | Latios             |  1.96952% | 13361  |  1.970% | 9497   |  1.886% | 
 | 80   | Nidoking           |  1.96112% | 13304  |  1.961% | 9880   |  1.962% | 
 | 81   | Amoonguss          |  1.95906% | 13290  |  1.959% | 9823   |  1.950% | 
 | 82   | Umbreon            |  1.93208% | 13107  |  1.932% | 9113   |  1.809% | 
 | 83   | Metagross          |  1.91631% | 13000  |  1.916% | 9407   |  1.868% | 
 | 84   | Porygon-Z          |  1.89302% | 12842  |  1.893% | 9188   |  1.824% | 
 | 85   | Milotic            |  1.84599% | 12523  |  1.846% | 9188   |  1.824% | 
 | 86   | Mamoswine          |  1.82713% | 12395  |  1.827% | 9716   |  1.929% | 
 | 87   | Galvantula         |  1.82403% | 12374  |  1.824% | 10928  |  2.170% | 
 | 88   | Manaphy            |  1.80899% | 12272  |  1.809% | 8481   |  1.684% | 
 | 89   | Mew                |  1.78865% | 12134  |  1.789% | 9535   |  1.893% | 
 | 90   | Goodra             |  1.74502% | 11838  |  1.745% | 8648   |  1.717% | 
 | 91   | Crawdaunt          |  1.73558% | 11774  |  1.736% | 8631   |  1.714% | 
 | 92   | Latias-Mega        |  1.72762% | 11720  |  1.728% | 8363   |  1.660% | 
 | 93   | Thundurus-Therian  |  1.70669% | 11578  |  1.707% | 8547   |  1.697% | 
 | 94   | Xurkitree          |  1.69888% | 11525  |  1.699% | 8582   |  1.704% | 
 | 95   | Hoopa-Unbound      |  1.68267% | 11415  |  1.683% | 7876   |  1.564% | 
 | 96   | Sceptile-Mega      |  1.67603% | 11370  |  1.676% | 8095   |  1.607% | 
 | 97   | Jolteon            |  1.66527% | 11297  |  1.665% | 8438   |  1.675% | 
 | 98   | Blissey            |  1.64051% | 11129  |  1.641% | 8076   |  1.603% | 
 | 99   | Gardevoir-Mega     |  1.61500% | 10956  |  1.615% | 7277   |  1.445% | 
 | 100  | Muk-Alola          |  1.61397% | 10949  |  1.614% | 8378   |  1.663% | 
 | 101  | Arcanine           |  1.57653% | 10695  |  1.577% | 8169   |  1.622% | 
 | 102  | Gastrodon          |  1.52951% | 10376  |  1.530% | 8100   |  1.608% | 
 | 103  | Manectric-Mega     |  1.52140% | 10321  |  1.521% | 7960   |  1.580% | 
 | 104  | Hippowdon          |  1.49472% | 10140  |  1.495% | 8634   |  1.714% | 
 | 105  | Crobat             |  1.48602% | 10081  |  1.486% | 7281   |  1.446% | 
 | 106  | Marowak-Alola      |  1.46509% | 9939   |  1.465% | 7294   |  1.448% | 
 | 107  | Krookodile         |  1.45271% | 9855   |  1.453% | 7151   |  1.420% | 
 | 108  | Alakazam           |  1.45064% | 9841   |  1.451% | 6336   |  1.258% | 
 | 109  | Porygon2           |  1.43472% | 9733   |  1.435% | 7288   |  1.447% | 
 | 110  | Volcanion          |  1.43414% | 9729   |  1.434% | 7496   |  1.488% | 
 | 111  | Torkoal            |  1.42485% | 9666   |  1.425% | 8692   |  1.726% | 
 | 112  | Araquanid          |  1.36824% | 9282   |  1.368% | 7821   |  1.553% | 
 | 113  | Darmanitan         |  1.31208% | 8901   |  1.312% | 6577   |  1.306% | 
 | 114  | Sylveon            |  1.31193% | 8900   |  1.312% | 6041   |  1.199% | 
 | 115  | Heracross-Mega     |  1.28098% | 8690   |  1.281% | 6276   |  1.246% | 
 | 116  | Talonflame         |  1.27051% | 8619   |  1.271% | 6203   |  1.232% | 
 | 117  | Quagsire           |  1.26786% | 8601   |  1.268% | 5965   |  1.184% | 
 | 118  | Starmie            |  1.26373% | 8573   |  1.264% | 6195   |  1.230% | 
 | 119  | Gardevoir          |  1.22703% | 8324   |  1.227% | 5199   |  1.032% | 
 | 120  | Reuniclus          |  1.22673% | 8322   |  1.227% | 5617   |  1.115% | 
 | 121  | Incineroar         |  1.20167% | 8152   |  1.202% | 6179   |  1.227% | 
 | 122  | Salazzle           |  1.18207% | 8019   |  1.182% | 5790   |  1.150% | 
 | 123  | Empoleon           |  1.17337% | 7960   |  1.173% | 6261   |  1.243% | 
 | 124  | Ribombee           |  1.16895% | 7930   |  1.169% | 6978   |  1.385% | 
 | 125  | Tentacruel         |  1.16172% | 7881   |  1.162% | 6104   |  1.212% | 
 | 126  | Buzzwole           |  1.15833% | 7858   |  1.158% | 5609   |  1.114% | 
 | 127  | Scolipede          |  1.15745% | 7852   |  1.157% | 5621   |  1.116% | 
 | 128  | Aerodactyl-Mega    |  1.15008% | 7802   |  1.150% | 5782   |  1.148% | 
 | 129  | Haxorus            |  1.14802% | 7788   |  1.148% | 5244   |  1.041% | 
 | 130  | Rotom-Heat         |  1.14330% | 7756   |  1.143% | 6135   |  1.218% | 
 | 131  | Nihilego           |  1.13784% | 7719   |  1.138% | 5812   |  1.154% | 
 | 132  | Electivire         |  1.13033% | 7668   |  1.130% | 5616   |  1.115% | 
 | 133  | Slowbro            |  1.09171% | 7406   |  1.092% | 5638   |  1.119% | 
 | 134  | Altaria-Mega       |  1.08212% | 7341   |  1.082% | 5114   |  1.015% | 
 | 135  | Cresselia          |  1.06738% | 7241   |  1.067% | 5441   |  1.080% | 
 | 136  | Primarina          |  1.06591% | 7231   |  1.066% | 5127   |  1.018% | 
 | 137  | Zoroark            |  1.06311% | 7212   |  1.063% | 3110   |  0.617% | 
 | 138  | Klefki             |  1.04925% | 7118   |  1.049% | 6060   |  1.203% | 
 | 139  | Feraligatr         |  1.04041% | 7058   |  1.040% | 5033   |  0.999% | 
 | 140  | Pikachu            |  1.03982% | 7054   |  1.040% | 5119   |  1.016% | 
 | 141  | Azelf              |  1.00650% | 6828   |  1.007% | 6203   |  1.232% | 
 | 142  | Swampert           |  1.00046% | 6787   |  1.000% | 5508   |  1.094% | 
 | 143  | Suicune            |  0.99088% | 6722   |  0.991% | 4802   |  0.953% | 
 | 144  | Mandibuzz          |  0.98410% | 6676   |  0.984% | 4860   |  0.965% | 
 | 145  | Machamp            |  0.98410% | 6676   |  0.984% | 4972   |  0.987% | 
 | 146  | Pidgeot-Mega       |  0.96361% | 6537   |  0.964% | 4841   |  0.961% | 
 | 147  | Latias             |  0.94784% | 6430   |  0.948% | 4559   |  0.905% | 
 | 148  | Forretress         |  0.92926% | 6304   |  0.929% | 5476   |  1.087% | 
 | 149  | Lycanroc-Dusk      |  0.87914% | 5964   |  0.879% | 4465   |  0.886% | 
 | 150  | Thundurus          |  0.84406% | 5726   |  0.844% | 4216   |  0.837% | 
 | 151  | Houndoom-Mega      |  0.82431% | 5592   |  0.824% | 3798   |  0.754% | 
 | 152  | Vaporeon           |  0.81620% | 5537   |  0.816% | 4106   |  0.815% | 
 | 153  | Decidueye          |  0.81163% | 5506   |  0.812% | 3906   |  0.775% | 
 | 154  | Diggersby          |  0.81148% | 5505   |  0.811% | 4031   |  0.800% | 
 | 155  | Blastoise-Mega     |  0.80116% | 5435   |  0.801% | 4049   |  0.804% | 
 | 156  | Cofagrigus         |  0.79940% | 5423   |  0.799% | 4300   |  0.854% | 
 | 157  | Stakataka          |  0.78908% | 5353   |  0.789% | 3807   |  0.756% | 
 | 158  | Yanmega            |  0.78657% | 5336   |  0.787% | 3881   |  0.771% | 
 | 159  | Swellow            |  0.77920% | 5286   |  0.779% | 3792   |  0.753% | 
 | 160  | Sceptile           |  0.77714% | 5272   |  0.777% | 3724   |  0.739% | 
 | 161  | Noivern            |  0.77655% | 5268   |  0.777% | 3834   |  0.761% | 
 | 162  | Aggron-Mega        |  0.76564% | 5194   |  0.766% | 4065   |  0.807% | 
 | 163  | Blastoise          |  0.76357% | 5180   |  0.764% | 4056   |  0.805% | 
 | 164  | Latios-Mega        |  0.76004% | 5156   |  0.760% | 3764   |  0.747% | 
 | 165  | Roserade           |  0.75620% | 5130   |  0.756% | 3723   |  0.739% | 
 | 166  | Ludicolo           |  0.75370% | 5113   |  0.754% | 3609   |  0.717% | 
 | 167  | Ninetales          |  0.74205% | 5034   |  0.742% | 3836   |  0.762% | 
 | 168  | Smeargle           |  0.72333% | 4907   |  0.723% | 4459   |  0.885% | 
 | 169  | Toxicroak          |  0.71979% | 4883   |  0.720% | 3425   |  0.680% | 
 | 170  | Lapras             |  0.71272% | 4835   |  0.713% | 3570   |  0.709% | 
 | 171  | Drapion            |  0.68678% | 4659   |  0.687% | 3466   |  0.688% | 
 | 172  | Flygon             |  0.68589% | 4653   |  0.686% | 3412   |  0.677% | 
 | 173  | Dusclops           |  0.68560% | 4651   |  0.686% | 3671   |  0.729% | 
 | 174  | Froslass           |  0.68442% | 4643   |  0.684% | 3775   |  0.749% | 
 | 175  | Raichu-Alola       |  0.67130% | 4554   |  0.671% | 3265   |  0.648% | 
