 Total battles: 480396
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 21.75580% | 209028 | 21.756% | 177386 | 24.680% | 
 | 2    | Greninja-Ash       | 16.40501% | 157618 | 16.405% | 114195 | 15.888% | 
 | 3    | Ferrothorn         | 15.40208% | 147982 | 15.402% | 123462 | 17.177% | 
 | 4    | Tapu Koko          | 12.61647% | 121218 | 12.616% | 94693  | 13.175% | 
 | 5    | Heatran            | 11.87333% | 114078 | 11.873% | 92008  | 12.801% | 
 | 6    | Kartana            | 10.60282% | 101871 | 10.603% | 73485  | 10.224% | 
 | 7    | Gliscor            | 10.03245% | 96391  | 10.032% | 72946  | 10.149% | 
 | 8    | Magearna           |  9.87435% | 94872  |  9.874% | 73679  | 10.251% | 
 | 9    | Garchomp           |  9.60458% | 92280  |  9.605% | 70125  |  9.757% | 
 | 10   | Rotom-Wash         |  9.47250% | 91011  |  9.472% | 74303  | 10.338% | 
 | 11   | Toxapex            |  9.38819% | 90201  |  9.388% | 68607  |  9.545% | 
 | 12   | Serperior          |  9.21688% | 88555  |  9.217% | 62947  |  8.758% | 
 | 13   | Greninja           |  8.00350% | 76897  |  8.004% | 56647  |  7.881% | 
 | 14   | Excadrill          |  7.98695% | 76738  |  7.987% | 58390  |  8.124% | 
 | 15   | Volcarona          |  7.92711% | 76163  |  7.927% | 53210  |  7.403% | 
 | 16   | Chansey            |  7.86164% | 75534  |  7.862% | 55717  |  7.752% | 
 | 17   | Tapu Lele          |  7.73622% | 74329  |  7.736% | 55973  |  7.788% | 
 | 18   | Charizard-Mega-X   |  6.94344% | 66712  |  6.943% | 49648  |  6.908% | 
 | 19   | Zapdos             |  6.64847% | 63878  |  6.648% | 50379  |  7.009% | 
 | 20   | Clefable           |  6.55116% | 62943  |  6.551% | 44752  |  6.226% | 
 | 21   | Hawlucha           |  6.48122% | 62271  |  6.481% | 42430  |  5.903% | 
 | 22   | Dragonite          |  5.80646% | 55788  |  5.806% | 39152  |  5.447% | 
 | 23   | Tornadus-Therian   |  5.71310% | 54891  |  5.713% | 41809  |  5.817% | 
 | 24   | Azumarill          |  5.58498% | 53660  |  5.585% | 39156  |  5.448% | 
