 Total battles: 2122031
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 30.12812% | 1278656 | 30.128% | 1095546 | 33.926% | 
 | 2    | Tapu Koko          | 17.85923% | 757957 | 17.859% | 601066 | 18.613% | 
 | 3    | Greninja-Ash       | 15.20621% | 645361 | 15.206% | 481732 | 14.918% | 
 | 4    | Ferrothorn         | 13.39929% | 568674 | 13.399% | 484102 | 14.991% | 
 | 5    | Kartana            | 12.14961% | 515637 | 12.150% | 380420 | 11.780% | 
 | 6    | Toxapex            | 11.89667% | 504902 | 11.897% | 389848 | 12.072% | 
 | 7    | Magearna           | 11.70923% | 496947 | 11.709% | 394913 | 12.229% | 
 | 8    | Heatran            | 11.57290% | 491161 | 11.573% | 398589 | 12.343% | 
 | 9    | Blacephalon        |  9.23486% | 391933 |  9.235% | 285623 |  8.845% | 
 | 10   | Tapu Lele          |  9.16707% | 389056 |  9.167% | 290614 |  8.999% | 
 | 11   | Greninja           |  8.85911% | 375986 |  8.859% | 289099 |  8.952% | 
 | 12   | Celesteela         |  7.97757% | 338573 |  7.978% | 267516 |  8.284% | 
 | 13   | Zygarde            |  7.95236% | 337503 |  7.952% | 247440 |  7.662% | 
 | 14   | Excadrill          |  7.94529% | 337203 |  7.945% | 261769 |  8.106% | 
 | 15   | Garchomp           |  7.60851% | 322910 |  7.609% | 243442 |  7.539% | 
 | 16   | Mimikyu            |  7.56582% | 321098 |  7.566% | 225066 |  6.970% | 
 | 17   | Tyranitar          |  7.48528% | 317680 |  7.485% | 246919 |  7.646% | 
 | 18   | Scizor-Mega        |  7.08529% | 300704 |  7.085% | 235725 |  7.300% | 
 | 19   | Hawlucha           |  7.03889% | 298735 |  7.039% | 205715 |  6.370% | 
 | 20   | Chansey            |  7.03237% | 298458 |  7.032% | 224878 |  6.964% | 
 | 21   | Tapu Bulu          |  6.91613% | 293525 |  6.916% | 224330 |  6.947% | 
 | 22   | Zapdos             |  6.79625% | 288437 |  6.796% | 227679 |  7.050% | 
 | 23   | Lopunny-Mega       |  6.59500% | 279896 |  6.595% | 214719 |  6.649% | 
 | 24   | Charizard-Mega-X   |  6.31023% | 267810 |  6.310% | 199600 |  6.181% | 
 | 25   | Dragonite          |  6.26431% | 265861 |  6.264% | 189900 |  5.881% | 
 | 26   | Skarmory           |  6.14402% | 260756 |  6.144% | 216644 |  6.709% | 
