 Total battles: 261540
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 25.41198% | 132925 | 25.412% | 114378 | 28.560% | 
 | 2    | Greninja-Ash       | 17.75120% | 92853  | 17.751% | 67655  | 16.893% | 
 | 3    | Ferrothorn         | 16.55617% | 86602  | 16.556% | 73138  | 18.262% | 
 | 4    | Tapu Koko          | 13.33601% | 69758  | 13.336% | 56075  | 14.002% | 
 | 5    | Heatran            | 12.41818% | 64957  | 12.418% | 52688  | 13.156% | 
 | 6    | Magearna           | 11.88824% | 62185  | 11.888% | 49836  | 12.444% | 
 | 7    | Kartana            | 11.35237% | 59382  | 11.352% | 43850  | 10.949% | 
 | 8    | Gliscor            | 10.03021% | 52466  | 10.030% | 40637  | 10.147% | 
 | 9    | Serperior          |  9.88052% | 51683  |  9.881% | 37948  |  9.475% | 
 | 10   | Rotom-Wash         |  9.78780% | 51198  |  9.788% | 43074  | 10.755% | 
 | 11   | Garchomp           |  9.60713% | 50253  |  9.607% | 38786  |  9.685% | 
 | 12   | Toxapex            |  9.31865% | 48744  |  9.319% | 37853  |  9.452% | 
 | 13   | Chansey            |  8.66043% | 45301  |  8.660% | 35395  |  8.838% | 
 | 14   | Excadrill          |  8.28745% | 43350  |  8.287% | 33612  |  8.393% | 
 | 15   | Tornadus-Therian   |  8.19855% | 42885  |  8.199% | 32987  |  8.237% | 
 | 16   | Tapu Lele          |  8.17504% | 42762  |  8.175% | 32566  |  8.132% | 
 | 17   | Zapdos             |  7.34725% | 38432  |  7.347% | 30934  |  7.724% | 
 | 18   | Greninja           |  7.28091% | 38085  |  7.281% | 27959  |  6.981% | 
 | 19   | Pelipper           |  7.19183% | 37619  |  7.192% | 34435  |  8.598% | 
 | 20   | Clefable           |  7.02397% | 36741  |  7.024% | 26995  |  6.741% | 
 | 21   | Charizard-Mega-X   |  6.86472% | 35908  |  6.865% | 26769  |  6.684% | 
 | 22   | Hawlucha           |  6.82592% | 35705  |  6.826% | 24670  |  6.160% | 
 | 23   | Swampert-Mega      |  6.78099% | 35470  |  6.781% | 28805  |  7.193% | 
 | 24   | Tapu Fini          |  6.48639% | 33929  |  6.486% | 27670  |  6.909% | 
 | 25   | Skarmory           |  6.25660% | 32727  |  6.257% | 27517  |  6.871% | 
 | 26   | Lopunny-Mega       |  6.03024% | 31543  |  6.030% | 24870  |  6.210% | 
 | 27   | Volcarona          |  6.02699% | 31526  |  6.027% | 22365  |  5.584% | 
 | 28   | Victini            |  6.00482% | 31410  |  6.005% | 24354  |  6.081% | 
 | 29   | Magnezone          |  5.47641% | 28646  |  5.476% | 22037  |  5.503% | 
 | 30   | Alakazam-Mega      |  5.35234% | 27997  |  5.352% | 18577  |  4.639% | 
 | 31   | Medicham-Mega      |  5.21220% | 27264  |  5.212% | 21992  |  5.491% | 
 | 32   | Scizor-Mega        |  5.18601% | 27127  |  5.186% | 20644  |  5.155% | 
 | 33   | Azumarill          |  5.13669% | 26869  |  5.137% | 20161  |  5.034% | 
 | 34   | Mawile-Mega        |  5.09846% | 26669  |  5.098% | 20030  |  5.001% | 
 | 35   | Celesteela         |  5.01051% | 26209  |  5.011% | 20696  |  5.168% | 
 | 36   | Charizard-Mega-Y   |  5.00803% | 26196  |  5.008% | 20229  |  5.051% | 
 | 37   | Kommo-o            |  4.93041% | 25790  |  4.930% | 18987  |  4.741% | 
 | 38   | Tyranitar          |  4.87402% | 25495  |  4.874% | 19940  |  4.979% | 
 | 39   | Bisharp            |  4.74249% | 24807  |  4.742% | 17726  |  4.426% | 
 | 40   | Kyurem-Black       |  4.43909% | 23220  |  4.439% | 17334  |  4.328% | 
 | 41   | Mimikyu            |  4.41634% | 23101  |  4.416% | 16526  |  4.126% | 
 | 42   | Tapu Bulu          |  4.10167% | 21455  |  4.102% | 16340  |  4.080% | 
 | 43   | Venusaur-Mega      |  3.80554% | 19906  |  3.806% | 15987  |  3.992% | 
 | 44   | Sableye-Mega       |  3.77036% | 19722  |  3.770% | 17653  |  4.408% | 
 | 45   | Dragonite          |  3.70020% | 19355  |  3.700% | 13989  |  3.493% | 
 | 46   | Keldeo             |  3.66101% | 19150  |  3.661% | 15353  |  3.834% | 
 | 47   | Blacephalon        |  3.63367% | 19007  |  3.634% | 13417  |  3.350% | 
 | 48   | Jirachi            |  3.48608% | 18235  |  3.486% | 13620  |  3.401% | 
 | 49   | Weavile            |  3.38170% | 17689  |  3.382% | 12580  |  3.141% | 
 | 50   | Diancie-Mega       |  3.30561% | 17291  |  3.306% | 13958  |  3.485% | 
