 Total battles: 2096790
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 25.71736% | 1078478 | 25.717% | 913833 | 28.619% | 
 | 2    | Greninja-Ash       | 14.93791% | 626433 | 14.938% | 465080 | 14.565% | 
 | 3    | Tapu Koko          | 14.47687% | 607099 | 14.477% | 473878 | 14.841% | 
 | 4    | Magearna           | 13.71768% | 575262 | 13.718% | 451357 | 14.135% | 
 | 5    | Ferrothorn         | 13.24055% | 555253 | 13.241% | 474295 | 14.854% | 
 | 6    | Heatran            | 11.65534% | 488776 | 11.655% | 400176 | 12.533% | 
 | 7    | Greninja           | 11.52476% | 483300 | 11.525% | 369153 | 11.561% | 
 | 8    | Garchomp           | 10.45565% | 438466 | 10.456% | 331782 | 10.391% | 
 | 9    | Tapu Fini          | 10.02885% | 420568 | 10.029% | 339643 | 10.637% | 
 | 10   | Zygarde            |  9.27365% | 388898 |  9.274% | 286884 |  8.985% | 
 | 11   | Tapu Lele          |  8.82523% | 370093 |  8.825% | 272509 |  8.534% | 
 | 12   | Toxapex            |  8.60184% | 360725 |  8.602% | 277074 |  8.677% | 
 | 13   | Celesteela         |  8.44715% | 354238 |  8.447% | 281768 |  8.824% | 
 | 14   | Lopunny-Mega       |  8.14190% | 341437 |  8.142% | 270259 |  8.464% | 
 | 15   | Tangrowth          |  8.09797% | 339595 |  8.098% | 266297 |  8.340% | 
 | 16   | Skarmory           |  7.91891% | 332086 |  7.919% | 274450 |  8.595% | 
 | 17   | Mimikyu            |  7.69283% | 322605 |  7.693% | 226602 |  7.097% | 
 | 18   | Mew                |  7.53690% | 316066 |  7.537% | 250551 |  7.847% | 
 | 19   | Chansey            |  7.43343% | 311727 |  7.433% | 235225 |  7.367% | 
 | 20   | Excadrill          |  7.38894% | 309861 |  7.389% | 235444 |  7.374% | 
 | 21   | Charizard-Mega-Y   |  7.07090% | 296524 |  7.071% | 234281 |  7.337% | 
 | 22   | Latios             |  6.90842% | 289710 |  6.908% | 207869 |  6.510% | 
 | 23   | Zapdos             |  6.68918% | 280516 |  6.689% | 223333 |  6.994% | 
 | 24   | Volcarona          |  6.60948% | 277174 |  6.609% | 199852 |  6.259% | 
 | 25   | Dugtrio            |  6.43028% | 269659 |  6.430% | 193433 |  6.058% | 
 | 26   | Bisharp            |  6.40293% | 268512 |  6.403% | 184389 |  5.775% | 
 | 27   | Gengar             |  6.35829% | 266640 |  6.358% | 186177 |  5.831% | 
 | 28   | Tapu Bulu          |  6.28484% | 263560 |  6.285% | 199048 |  6.234% | 
 | 29   | Clefable           |  5.93102% | 248722 |  5.931% | 185628 |  5.813% | 
 | 30   | Charizard-Mega-X   |  5.83189% | 244565 |  5.832% | 183716 |  5.754% | 
 | 31   | Tyranitar          |  5.77974% | 242378 |  5.780% | 188479 |  5.903% | 
 | 32   | Rotom-Wash         |  5.45129% | 228604 |  5.451% | 186192 |  5.831% | 
 | 33   | Scizor-Mega        |  5.40123% | 226505 |  5.401% | 177609 |  5.562% | 
 | 34   | Marshadow          |  5.34052% | 223959 |  5.341% | 171327 |  5.366% | 
 | 35   | Kartana            |  5.18693% | 217518 |  5.187% | 158320 |  4.958% | 
 | 36   | Marowak-Alola      |  4.93063% | 206770 |  4.931% | 156203 |  4.892% | 
 | 37   | Keldeo             |  4.80420% | 201468 |  4.804% | 152649 |  4.781% | 
 | 38   | Venusaur-Mega      |  4.72198% | 198020 |  4.722% | 152053 |  4.762% | 
 | 39   | Magnezone          |  4.64365% | 194735 |  4.644% | 152007 |  4.761% | 
 | 40   | Pelipper           |  4.48159% | 187939 |  4.482% | 172060 |  5.389% | 
