 Total battles: 450152
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 20.92549% | 188393 | 20.925% | 159043 | 23.690% | 
 | 2    | Greninja-Ash       | 16.61461% | 149582 | 16.615% | 107289 | 15.981% | 
 | 3    | Ferrothorn         | 15.02826% | 135300 | 15.028% | 112847 | 16.809% | 
 | 4    | Tapu Koko          | 12.93074% | 116416 | 12.931% | 91259  | 13.593% | 
 | 5    | Heatran            | 11.86899% | 106857 | 11.869% | 85292  | 12.705% | 
 | 6    | Kartana            | 10.37727% | 93427  | 10.377% | 67157  | 10.003% | 
 | 7    | Gliscor            | 10.08670% | 90811  | 10.087% | 68741  | 10.239% | 
 | 8    | Magearna           |  9.60687% | 86491  |  9.607% | 67247  | 10.017% | 
 | 9    | Serperior          |  9.40849% | 84705  |  9.408% | 59961  |  8.931% | 
 | 10   | Garchomp           |  9.33829% | 84073  |  9.338% | 63679  |  9.485% | 
 | 11   | Toxapex            |  9.32074% | 83915  |  9.321% | 63417  |  9.446% | 
 | 12   | Rotom-Wash         |  8.74593% | 78740  |  8.746% | 64230  |  9.567% | 
 | 13   | Chansey            |  8.65074% | 77883  |  8.651% | 57421  |  8.553% | 
 | 14   | Excadrill          |  8.53812% | 76869  |  8.538% | 58402  |  8.699% | 
 | 15   | Greninja           |  7.70740% | 69390  |  7.707% | 50620  |  7.540% | 
 | 16   | Volcarona          |  7.62798% | 68675  |  7.628% | 47401  |  7.061% | 
 | 17   | Tapu Lele          |  7.52846% | 67779  |  7.528% | 50788  |  7.565% | 
 | 18   | Charizard-Mega-X   |  7.26943% | 65447  |  7.269% | 48709  |  7.255% | 
 | 19   | Zapdos             |  6.91011% | 62212  |  6.910% | 48823  |  7.272% | 
 | 20   | Clefable           |  6.82392% | 61436  |  6.824% | 43576  |  6.491% | 
 | 21   | Hawlucha           |  6.68141% | 60153  |  6.681% | 40419  |  6.021% | 
 | 22   | Dragonite          |  5.75828% | 51842  |  5.758% | 36557  |  5.445% | 
 | 23   | Tornadus-Therian   |  5.73018% | 51589  |  5.730% | 38626  |  5.754% | 
 | 24   | Skarmory           |  5.72873% | 51576  |  5.729% | 41630  |  6.201% | 
 | 25   | Charizard-Mega-Y   |  5.71363% | 51440  |  5.714% | 38827  |  5.783% | 
 | 26   | Celesteela         |  5.65576% | 50919  |  5.656% | 39375  |  5.865% | 
 | 27   | Tyranitar          |  5.50625% | 49573  |  5.506% | 37763  |  5.625% | 
 | 28   | Pelipper           |  5.41539% | 48755  |  5.415% | 44448  |  6.621% | 
 | 29   | Victini            |  5.35497% | 48211  |  5.355% | 35703  |  5.318% | 
 | 30   | Alakazam-Mega      |  5.32387% | 47931  |  5.324% | 31325  |  4.666% | 
 | 31   | Swampert-Mega      |  5.29532% | 47674  |  5.295% | 37774  |  5.627% | 
 | 32   | Magnezone          |  5.26833% | 47431  |  5.268% | 35470  |  5.283% | 
