 Total battles: 1806198
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 27.88844% | 1007441 | 27.888% | 859529 | 31.445% | 
 | 2    | Tapu Koko          | 17.41052% | 628937 | 17.411% | 500276 | 18.302% | 
 | 3    | Ferrothorn         | 14.59419% | 527200 | 14.594% | 447871 | 16.385% | 
 | 4    | Greninja-Ash       | 14.20022% | 512968 | 14.200% | 376649 | 13.779% | 
 | 5    | Heatran            | 12.39465% | 447744 | 12.395% | 365725 | 13.380% | 
 | 6    | Kartana            | 11.36786% | 410652 | 11.368% | 299192 | 10.946% | 
 | 7    | Magearna           | 10.61752% | 383547 | 10.618% | 302058 | 11.050% | 
 | 8    | Toxapex            | 10.35213% | 373960 | 10.352% | 286740 | 10.490% | 
 | 9    | Greninja           |  9.76006% | 352572 |  9.760% | 268594 |  9.826% | 
 | 10   | Tapu Lele          |  9.40691% | 339815 |  9.407% | 252899 |  9.252% | 
 | 11   | Zapdos             |  8.94500% | 323129 |  8.945% | 253793 |  9.285% | 
 | 12   | Zygarde            |  8.24469% | 297831 |  8.245% | 218029 |  7.976% | 
 | 13   | Garchomp           |  8.24085% | 297692 |  8.241% | 223307 |  8.169% | 
 | 14   | Chansey            |  7.66599% | 276926 |  7.666% | 207296 |  7.584% | 
 | 15   | Hawlucha           |  7.62214% | 275342 |  7.622% | 183832 |  6.725% | 
 | 16   | Clefable           |  7.43720% | 268661 |  7.437% | 197904 |  7.240% | 
 | 17   | Charizard-Mega-X   |  7.30487% | 263881 |  7.305% | 196030 |  7.172% | 
 | 18   | Volcarona          |  7.07865% | 255709 |  7.079% | 181540 |  6.641% | 
 | 19   | Excadrill          |  7.06351% | 255162 |  7.064% | 194432 |  7.113% | 
 | 20   | Rotom-Wash         |  6.97783% | 252067 |  6.978% | 208842 |  7.640% | 
 | 21   | Mimikyu            |  6.88485% | 248708 |  6.885% | 172959 |  6.328% | 
 | 22   | Celesteela         |  6.64609% | 240083 |  6.646% | 187885 |  6.874% | 
 | 23   | Scizor-Mega        |  6.52066% | 235552 |  6.521% | 181681 |  6.647% | 
 | 24   | Tapu Bulu          |  6.25258% | 225868 |  6.253% | 172776 |  6.321% | 
 | 25   | Tyranitar          |  6.09836% | 220297 |  6.098% | 169317 |  6.194% | 
 | 26   | Skarmory           |  5.97022% | 215668 |  5.970% | 176423 |  6.454% | 
 | 27   | Magnezone          |  5.82777% | 210522 |  5.828% | 163310 |  5.975% | 
 | 28   | Lopunny-Mega       |  5.52561% | 199607 |  5.526% | 151972 |  5.560% | 
 | 29   | Tapu Fini          |  5.31603% | 192036 |  5.316% | 155812 |  5.700% | 
 | 30   | Venusaur-Mega      |  5.06301% | 182896 |  5.063% | 139470 |  5.102% | 
 | 31   | Alakazam-Mega      |  4.99657% | 180496 |  4.997% | 120740 |  4.417% | 
 | 32   | Gliscor            |  4.99029% | 180269 |  4.990% | 140049 |  5.124% | 
