 Total battles: 2041895
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 29.37125% | 1199460 | 29.371% | 1029221 | 33.032% | 
 | 2    | Tapu Koko          | 18.25689% | 745573 | 18.257% | 592235 | 19.007% | 
 | 3    | Greninja-Ash       | 15.31110% | 625273 | 15.311% | 464612 | 14.911% | 
 | 4    | Ferrothorn         | 13.88448% | 567013 | 13.884% | 484034 | 15.535% | 
 | 5    | Heatran            | 12.30560% | 502535 | 12.306% | 411695 | 13.213% | 
 | 6    | Magearna           | 12.16216% | 496677 | 12.162% | 398891 | 12.802% | 
 | 7    | Kartana            | 12.01947% | 490850 | 12.019% | 360565 | 11.572% | 
 | 8    | Toxapex            | 10.97507% | 448199 | 10.975% | 346733 | 11.128% | 
 | 9    | Tapu Lele          |  8.97130% | 366369 |  8.971% | 273753 |  8.786% | 
 | 10   | Greninja           |  8.87962% | 362625 |  8.880% | 277763 |  8.914% | 
 | 11   | Excadrill          |  8.13139% | 332069 |  8.131% | 257331 |  8.259% | 
 | 12   | Zapdos             |  7.94666% | 324525 |  7.947% | 257359 |  8.260% | 
 | 13   | Garchomp           |  7.78346% | 317860 |  7.783% | 240696 |  7.725% | 
 | 14   | Mimikyu            |  7.60411% | 310536 |  7.604% | 217456 |  6.979% | 
 | 15   | Chansey            |  7.56883% | 309095 |  7.569% | 235870 |  7.570% | 
 | 16   | Celesteela         |  7.56621% | 308988 |  7.566% | 244667 |  7.852% | 
 | 17   | Hawlucha           |  7.33214% | 299429 |  7.332% | 204522 |  6.564% | 
 | 18   | Zygarde            |  7.29369% | 297859 |  7.294% | 219003 |  7.029% | 
 | 19   | Tapu Bulu          |  7.26974% | 296881 |  7.270% | 228828 |  7.344% | 
 | 20   | Scizor-Mega        |  7.22398% | 295012 |  7.224% | 231146 |  7.418% | 
 | 21   | Charizard-Mega-X   |  6.84545% | 279554 |  6.845% | 210831 |  6.766% | 
 | 22   | Tyranitar          |  6.51549% | 266079 |  6.515% | 207433 |  6.657% | 
 | 23   | Skarmory           |  6.43064% | 262614 |  6.431% | 217347 |  6.976% | 
 | 24   | Volcarona          |  6.41255% | 261875 |  6.413% | 187435 |  6.016% | 
 | 25   | Blacephalon        |  6.24427% | 255003 |  6.244% | 184872 |  5.933% | 
 | 26   | Lopunny-Mega       |  6.18061% | 252403 |  6.181% | 193595 |  6.213% | 
 | 27   | Dragonite          |  6.06415% | 247647 |  6.064% | 176982 |  5.680% | 
 | 28   | Clefable           |  6.02240% | 245942 |  6.022% | 182166 |  5.846% | 
 | 29   | Magnezone          |  6.00244% | 245127 |  6.002% | 192189 |  6.168% | 
 | 30   | Bisharp            |  5.46311% | 223102 |  5.463% | 155079 |  4.977% | 
 | 31   | Rotom-Wash         |  5.36636% | 219151 |  5.366% | 182709 |  5.864% | 
 | 32   | Tapu Fini          |  5.35414% | 218652 |  5.354% | 177255 |  5.689% | 
 | 33   | Medicham-Mega      |  5.01813% | 204930 |  5.018% | 160624 |  5.155% | 
 | 34   | Latios             |  4.93615% | 201582 |  4.936% | 144428 |  4.635% | 
 | 35   | Tangrowth          |  4.88823% | 199625 |  4.888% | 153506 |  4.927% | 
 | 36   | Kyurem-Black       |  4.87880% | 199240 |  4.879% | 147053 |  4.720% | 
 | 37   | Charizard-Mega-Y   |  4.81487% | 196629 |  4.815% | 153772 |  4.935% | 
 | 38   | Venusaur-Mega      |  4.76339% | 194527 |  4.763% | 149402 |  4.795% | 
 | 39   | Mew                |  4.64990% | 189892 |  4.650% | 147122 |  4.722% | 
 | 40   | Alakazam-Mega      |  4.61858% | 188613 |  4.619% | 126534 |  4.061% | 
 | 41   | Gengar             |  4.54663% | 185675 |  4.547% | 129201 |  4.147% | 
 | 42   | Swampert-Mega      |  4.48767% | 183267 |  4.488% | 147461 |  4.733% | 
 | 43   | Victini            |  4.45760% | 182039 |  4.458% | 138639 |  4.449% | 
 | 44   | Gliscor            |  4.42293% | 180623 |  4.423% | 139967 |  4.492% | 
 | 45   | Pelipper           |  4.41820% | 180430 |  4.418% | 163744 |  5.255% | 
 | 46   | Pinsir-Mega        |  4.36609% | 178302 |  4.366% | 124638 |  4.000% | 
 | 47   | Keldeo             |  4.13782% | 168980 |  4.138% | 128215 |  4.115% | 
 | 48   | Gyarados-Mega      |  4.02445% | 164350 |  4.024% | 125282 |  4.021% | 
 | 49   | Mawile-Mega        |  3.59272% | 146719 |  3.593% | 107254 |  3.442% | 
 | 50   | Diancie-Mega       |  3.49780% | 142843 |  3.498% | 112004 |  3.595% | 
 | 51   | Serperior          |  3.38330% | 138167 |  3.383% | 100522 |  3.226% | 
 | 52   | Marowak-Alola      |  3.29566% | 134588 |  3.296% | 101508 |  3.258% | 
 | 53   | Weavile            |  3.20631% | 130939 |  3.206% | 94257  |  3.025% | 
 | 54   | Sableye-Mega       |  3.13057% | 127846 |  3.131% | 110272 |  3.539% | 
 | 55   | Ninetales-Alola    |  3.02506% | 123537 |  3.025% | 98416  |  3.159% | 
 | 56   | Tyranitar-Mega     |  2.94694% | 120347 |  2.947% | 89999  |  2.888% | 
 | 57   | Gyarados           |  2.58679% | 105639 |  2.587% | 81623  |  2.620% | 
 | 58   | Jirachi            |  2.50015% | 102101 |  2.500% | 78647  |  2.524% | 
 | 59   | Kingdra            |  2.38227% | 97287  |  2.382% | 67572  |  2.169% | 
 | 60   | Infernape          |  2.31322% | 94467  |  2.313% | 71916  |  2.308% | 
 | 61   | Azumarill          |  2.30673% | 94202  |  2.307% | 72054  |  2.312% | 
 | 62   | Breloom            |  2.19877% | 89793  |  2.199% | 66972  |  2.149% | 
 | 63   | Beedrill-Mega      |  2.19372% | 89587  |  2.194% | 67794  |  2.176% | 
 | 64   | Salamence          |  2.09242% | 85450  |  2.092% | 60900  |  1.955% | 
 | 65   | Tornadus-Therian   |  2.06977% | 84525  |  2.070% | 66440  |  2.132% | 
 | 66   | Scizor             |  2.05863% | 84070  |  2.059% | 63376  |  2.034% | 
 | 67   | Arcanine           |  2.01369% | 82235  |  2.014% | 62735  |  2.013% | 
 | 68   | Kommo-o            |  1.97620% | 80704  |  1.976% | 59144  |  1.898% | 
 | 69   | Conkeldurr         |  1.95218% | 79723  |  1.952% | 60380  |  1.938% | 
 | 70   | Lycanroc-Dusk      |  1.94405% | 79391  |  1.944% | 57695  |  1.852% | 
 | 71   | Xurkitree          |  1.94121% | 79275  |  1.941% | 57212  |  1.836% | 
 | 72   | Araquanid          |  1.91491% | 78201  |  1.915% | 67810  |  2.176% | 
 | 73   | Nidoking           |  1.89843% | 77528  |  1.898% | 60980  |  1.957% | 
 | 74   | Snorlax            |  1.86422% | 76131  |  1.864% | 55876  |  1.793% | 
 | 75   | Hoopa-Unbound      |  1.82791% | 74648  |  1.828% | 52826  |  1.695% | 
 | 76   | Gallade-Mega       |  1.77644% | 72546  |  1.776% | 50762  |  1.629% | 
 | 77   | Stakataka          |  1.76412% | 72043  |  1.764% | 53772  |  1.726% | 
 | 78   | Thundurus-Therian  |  1.75548% | 71690  |  1.755% | 55689  |  1.787% | 
 | 79   | Cloyster           |  1.73932% | 71030  |  1.739% | 53709  |  1.724% | 
 | 80   | Manectric-Mega     |  1.73518% | 70861  |  1.735% | 56775  |  1.822% | 
 | 81   | Starmie            |  1.73295% | 70770  |  1.733% | 51269  |  1.645% | 
 | 82   | Togekiss           |  1.73168% | 70718  |  1.732% | 51398  |  1.650% | 
 | 83   | Goodra             |  1.69436% | 69194  |  1.694% | 51587  |  1.656% | 
 | 84   | Buzzwole           |  1.65199% | 67464  |  1.652% | 49415  |  1.586% | 
 | 85   | Muk-Alola          |  1.65158% | 67447  |  1.652% | 52147  |  1.674% | 
 | 86   | Porygon-Z          |  1.64989% | 67378  |  1.650% | 48053  |  1.542% | 
 | 87   | Shuckle            |  1.61690% | 66031  |  1.617% | 59157  |  1.899% | 
 | 88   | Garchomp-Mega      |  1.60922% | 65717  |  1.609% | 46411  |  1.490% | 
 | 89   | Hippowdon          |  1.55664% | 63570  |  1.557% | 54625  |  1.753% | 
 | 90   | Gardevoir-Mega     |  1.55317% | 63428  |  1.553% | 43257  |  1.388% | 
 | 91   | Staraptor          |  1.55121% | 63348  |  1.551% | 47035  |  1.510% | 
 | 92   | Ditto              |  1.54344% | 63031  |  1.543% | 45740  |  1.468% | 
 | 93   | Mamoswine          |  1.53935% | 62864  |  1.539% | 51411  |  1.650% | 
 | 94   | Amoonguss          |  1.52635% | 62333  |  1.526% | 47246  |  1.516% | 
 | 95   | Heracross-Mega     |  1.52290% | 62192  |  1.523% | 43951  |  1.411% | 
 | 96   | Cresselia          |  1.52123% | 62124  |  1.521% | 47801  |  1.534% | 
 | 97   | Hydreigon          |  1.50870% | 61612  |  1.509% | 44851  |  1.439% | 
 | 98   | Metagross          |  1.47738% | 60333  |  1.477% | 45145  |  1.449% | 
 | 99   | Espeon             |  1.47211% | 60118  |  1.472% | 43658  |  1.401% | 
 | 100  | Gastrodon          |  1.46161% | 59689  |  1.462% | 47673  |  1.530% | 
 | 101  | Umbreon            |  1.43580% | 58635  |  1.436% | 41418  |  1.329% | 
 | 102  | Manaphy            |  1.41589% | 57822  |  1.416% | 41983  |  1.347% | 
 | 103  | Jolteon            |  1.40925% | 57551  |  1.409% | 43569  |  1.398% | 
 | 104  | Ribombee           |  1.38261% | 56463  |  1.383% | 50768  |  1.629% | 
 | 105  | Chandelure         |  1.34417% | 54893  |  1.344% | 40281  |  1.293% | 
 | 106  | Galvantula         |  1.32497% | 54109  |  1.325% | 47568  |  1.527% | 
 | 107  | Alakazam           |  1.31314% | 53626  |  1.313% | 35392  |  1.136% | 
 | 108  | Sceptile-Mega      |  1.31197% | 53578  |  1.312% | 37666  |  1.209% | 
 | 109  | Thundurus          |  1.28488% | 52472  |  1.285% | 40643  |  1.304% | 
 | 110  | Lucario            |  1.26209% | 51541  |  1.262% | 36435  |  1.169% | 
 | 111  | Mantine            |  1.24076% | 50670  |  1.241% | 39987  |  1.283% | 
 | 112  | Crobat             |  1.21336% | 49551  |  1.213% | 36460  |  1.170% | 
 | 113  | Volcanion          |  1.19644% | 48860  |  1.196% | 38260  |  1.228% | 
 | 114  | Porygon2           |  1.18023% | 48198  |  1.180% | 37178  |  1.193% | 
 | 115  | Tentacruel         |  1.17722% | 48075  |  1.177% | 37534  |  1.205% | 
 | 116  | Milotic            |  1.16416% | 47542  |  1.164% | 35909  |  1.152% | 
 | 117  | Sylveon            |  1.13843% | 46491  |  1.138% | 31832  |  1.022% | 
 | 118  | Latias             |  1.11906% | 45700  |  1.119% | 32115  |  1.031% | 
 | 119  | Talonflame         |  1.08404% | 44270  |  1.084% | 32073  |  1.029% | 
 | 120  | Darmanitan         |  1.07018% | 43704  |  1.070% | 33051  |  1.061% | 
 | 121  | Salazzle           |  1.06813% | 43620  |  1.068% | 31927  |  1.025% | 
 | 122  | Latios-Mega        |  1.06110% | 43333  |  1.061% | 31387  |  1.007% | 
 | 123  | Blissey            |  1.04790% | 42794  |  1.048% | 30838  |  0.990% | 
