 Total battles: 296846
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 26.81525% | 159200 | 26.815% | 136311 | 29.950% | 
 | 2    | Ferrothorn         | 17.90406% | 106295 | 17.904% | 89426  | 19.649% | 
 | 3    | Greninja-Ash       | 16.80366% | 99762  | 16.804% | 72529  | 15.936% | 
 | 4    | Tapu Koko          | 14.40292% | 85509  | 14.403% | 69148  | 15.193% | 
 | 5    | Magearna           | 13.05542% | 77509  | 13.055% | 62033  | 13.630% | 
 | 6    | Heatran            | 12.13070% | 72019  | 12.131% | 58317  | 12.813% | 
 | 7    | Kartana            | 11.24758% | 66776  | 11.248% | 49449  | 10.865% | 
 | 8    | Rotom-Wash         | 10.72981% | 63702  | 10.730% | 53189  | 11.687% | 
 | 9    | Gliscor            |  9.89452% | 58743  |  9.895% | 45230  |  9.938% | 
 | 10   | Garchomp           |  9.61829% | 57103  |  9.618% | 44030  |  9.674% | 
 | 11   | Chansey            |  9.41296% | 55884  |  9.413% | 43798  |  9.623% | 
 | 12   | Toxapex            |  9.05773% | 53775  |  9.058% | 41057  |  9.021% | 
 | 13   | Serperior          |  8.66746% | 51458  |  8.667% | 37462  |  8.231% | 
 | 14   | Tornadus-Therian   |  8.49397% | 50428  |  8.494% | 38364  |  8.429% | 
 | 15   | Tapu Lele          |  8.32452% | 49422  |  8.325% | 37372  |  8.211% | 
 | 16   | Pelipper           |  8.19128% | 48631  |  8.191% | 44265  |  9.726% | 
 | 17   | Excadrill          |  7.90241% | 46916  |  7.902% | 35976  |  7.905% | 
 | 18   | Hawlucha           |  7.68024% | 45597  |  7.680% | 31825  |  6.993% | 
 | 19   | Swampert-Mega      |  7.62298% | 45257  |  7.623% | 36586  |  8.039% | 
 | 20   | Greninja           |  7.36695% | 43737  |  7.367% | 32482  |  7.137% | 
 | 21   | Zapdos             |  6.93760% | 41188  |  6.938% | 32697  |  7.184% | 
 | 22   | Tapu Fini          |  6.78668% | 40292  |  6.787% | 32618  |  7.167% | 
 | 23   | Skarmory           |  6.63458% | 39389  |  6.635% | 32854  |  7.219% | 
 | 24   | Charizard-Mega-X   |  6.18452% | 36717  |  6.185% | 27448  |  6.031% | 
 | 25   | Azumarill          |  6.17846% | 36681  |  6.178% | 27347  |  6.009% | 
 | 26   | Magnezone          |  6.10232% | 36229  |  6.102% | 27828  |  6.114% | 
 | 27   | Clefable           |  6.09845% | 36206  |  6.098% | 26050  |  5.724% | 
 | 28   | Lopunny-Mega       |  6.03714% | 35842  |  6.037% | 28324  |  6.223% | 
 | 29   | Victini            |  5.86870% | 34842  |  5.869% | 27036  |  5.940% | 
 | 30   | Volcarona          |  5.84849% | 34722  |  5.848% | 24686  |  5.424% | 
 | 31   | Mawile-Mega        |  5.80890% | 34487  |  5.809% | 25840  |  5.678% | 
 | 32   | Medicham-Mega      |  5.61806% | 33354  |  5.618% | 26956  |  5.923% | 
 | 33   | Tyranitar          |  5.43699% | 32279  |  5.437% | 25462  |  5.594% | 
 | 34   | Alakazam-Mega      |  5.34284% | 31720  |  5.343% | 21413  |  4.705% | 
 | 35   | Charizard-Mega-Y   |  5.27748% | 31332  |  5.277% | 24800  |  5.449% | 
 | 36   | Scizor-Mega        |  5.17154% | 30703  |  5.172% | 23904  |  5.252% | 
 | 37   | Kommo-o            |  4.94869% | 29380  |  4.949% | 21774  |  4.784% | 
 | 38   | Celesteela         |  4.92983% | 29268  |  4.930% | 23114  |  5.079% | 
 | 39   | Kyurem-Black       |  4.70480% | 27932  |  4.705% | 21022  |  4.619% | 
 | 40   | Bisharp            |  4.17742% | 24801  |  4.177% | 17673  |  3.883% | 
 | 41   | Jirachi            |  3.97142% | 23578  |  3.971% | 17690  |  3.887% | 
 | 42   | Dragonite          |  3.94110% | 23398  |  3.941% | 16925  |  3.719% | 
 | 43   | Tapu Bulu          |  3.82892% | 22732  |  3.829% | 17429  |  3.829% | 
 | 44   | Venusaur-Mega      |  3.77738% | 22426  |  3.777% | 18106  |  3.978% | 
 | 45   | Keldeo             |  3.70984% | 22025  |  3.710% | 17769  |  3.904% | 
 | 46   | Blacephalon        |  3.65610% | 21706  |  3.656% | 15498  |  3.405% | 
 | 47   | Sableye-Mega       |  3.60220% | 21386  |  3.602% | 19228  |  4.225% | 
 | 48   | Mimikyu            |  3.53365% | 20979  |  3.534% | 14515  |  3.189% | 
 | 49   | Diancie-Mega       |  3.33304% | 19788  |  3.333% | 15989  |  3.513% | 
 | 50   | Manaphy            |  3.22238% | 19131  |  3.222% | 13363  |  2.936% | 
 | 51   | Beedrill-Mega      |  3.20756% | 19043  |  3.208% | 14856  |  3.264% | 
 | 52   | Tangrowth          |  3.00206% | 17823  |  3.002% | 13547  |  2.977% | 
 | 53   | Gyarados-Mega      |  2.98000% | 17692  |  2.980% | 13633  |  2.995% | 
 | 54   | Infernape          |  2.90201% | 17229  |  2.902% | 13201  |  2.901% | 
 | 55   | Weavile            |  2.83329% | 16821  |  2.833% | 12229  |  2.687% | 
 | 56   | Breloom            |  2.71218% | 16102  |  2.712% | 12183  |  2.677% | 
 | 57   | Gengar             |  2.61954% | 15552  |  2.620% | 11055  |  2.429% | 
 | 58   | Scizor             |  2.60708% | 15478  |  2.607% | 11670  |  2.564% | 
 | 59   | Gardevoir-Mega     |  2.58451% | 15344  |  2.585% | 10510  |  2.309% | 
 | 60   | Pinsir-Mega        |  2.50467% | 14870  |  2.505% | 10673  |  2.345% | 
 | 61   | Tyranitar-Mega     |  2.45700% | 14587  |  2.457% | 11454  |  2.517% | 
 | 62   | Cresselia          |  2.40428% | 14274  |  2.404% | 10839  |  2.382% | 
 | 63   | Gyarados           |  2.30810% | 13703  |  2.308% | 10359  |  2.276% | 
 | 64   | Cloyster           |  2.29715% | 13638  |  2.297% | 10120  |  2.224% | 
 | 65   | Ditto              |  2.27812% | 13525  |  2.278% | 9533   |  2.095% | 
 | 66   | Hoopa-Unbound      |  2.27104% | 13483  |  2.271% | 9272   |  2.037% | 
 | 67   | Togekiss           |  2.21697% | 13162  |  2.217% | 9697   |  2.131% | 
 | 68   | Zeraora            |  2.16190% | 12835  |  2.162% | 9622   |  2.114% | 
 | 69   | Torkoal            |  2.11726% | 12570  |  2.117% | 11285  |  2.480% | 
 | 70   | Galvantula         |  2.09519% | 12439  |  2.095% | 10992  |  2.415% | 
 | 71   | Garchomp-Mega      |  2.07262% | 12305  |  2.073% | 9077   |  1.994% | 
 | 72   | Staraptor          |  1.97358% | 11717  |  1.974% | 9095   |  1.998% | 
