 Total battles: 2101039
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 30.36700% | 1276045 | 30.367% | 1089985 | 34.291% | 
 | 2    | Tapu Koko          | 16.68360% | 701058 | 16.684% | 547963 | 17.239% | 
 | 3    | Greninja-Ash       | 14.70135% | 617762 | 14.701% | 461111 | 14.507% | 
 | 4    | Ferrothorn         | 13.45779% | 565507 | 13.458% | 478153 | 15.043% | 
 | 5    | Heatran            | 12.69941% | 533639 | 12.699% | 433527 | 13.639% | 
 | 6    | Magearna           | 11.89378% | 499786 | 11.894% | 391126 | 12.305% | 
 | 7    | Naganadel          | 10.44502% | 438908 | 10.445% | 314130 |  9.883% | 
 | 8    | Toxapex            | 10.33077% | 434107 | 10.331% | 332963 | 10.475% | 
 | 9    | Kartana            |  9.81938% | 412618 |  9.819% | 300025 |  9.439% | 
 | 10   | Greninja           |  9.38141% | 394214 |  9.381% | 301623 |  9.489% | 
 | 11   | Tapu Lele          |  8.70050% | 365602 |  8.701% | 266022 |  8.369% | 
 | 12   | Excadrill          |  8.41438% | 353579 |  8.414% | 272527 |  8.574% | 
 | 13   | Celesteela         |  8.38302% | 352261 |  8.383% | 276653 |  8.704% | 
 | 14   | Tyranitar          |  8.38047% | 352154 |  8.380% | 274212 |  8.627% | 
 | 15   | Mimikyu            |  8.08426% | 339707 |  8.084% | 237934 |  7.486% | 
 | 16   | Garchomp           |  7.71625% | 324243 |  7.716% | 242774 |  7.638% | 
 | 17   | Blacephalon        |  7.41969% | 311781 |  7.420% | 224466 |  7.062% | 
 | 18   | Lopunny-Mega       |  7.22852% | 303748 |  7.229% | 233376 |  7.342% | 
 | 19   | Zygarde            |  7.03695% | 295698 |  7.037% | 215073 |  6.766% | 
 | 20   | Chansey            |  6.99678% | 294010 |  6.997% | 219138 |  6.894% | 
 | 21   | Tapu Fini          |  6.84590% | 287670 |  6.846% | 231696 |  7.289% | 
 | 22   | Tapu Bulu          |  6.75818% | 283984 |  6.758% | 213821 |  6.727% | 
 | 23   | Charizard-Mega-X   |  6.39769% | 268836 |  6.398% | 199860 |  6.288% | 
 | 24   | Hawlucha           |  6.37773% | 267997 |  6.378% | 185588 |  5.839% | 
 | 25   | Scizor-Mega        |  6.37292% | 267795 |  6.373% | 208042 |  6.545% | 
 | 26   | Volcarona          |  6.21443% | 261135 |  6.214% | 185017 |  5.821% | 
 | 27   | Bisharp            |  6.18511% | 259903 |  6.185% | 179105 |  5.635% | 
 | 28   | Zapdos             |  6.13577% | 257830 |  6.136% | 200694 |  6.314% | 
 | 29   | Latios             |  6.06862% | 255008 |  6.069% | 182001 |  5.726% | 
 | 30   | Skarmory           |  5.90382% | 248083 |  5.904% | 204680 |  6.439% | 
 | 31   | Dragonite          |  5.74180% | 241275 |  5.742% | 171489 |  5.395% | 
