 Total battles: 232930
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 22.19014% | 103375 | 22.190% | 87346  | 24.855% | 
 | 2    | Greninja-Ash       | 16.54360% | 77070  | 16.544% | 55665  | 15.840% | 
 | 3    | Ferrothorn         | 14.84115% | 69139  | 14.841% | 57516  | 16.367% | 
 | 4    | Heatran            | 12.59005% | 58652  | 12.590% | 47228  | 13.439% | 
 | 5    | Tapu Koko          | 12.08711% | 56309  | 12.087% | 44863  | 12.766% | 
 | 6    | Gliscor            | 11.25682% | 52441  | 11.257% | 39813  | 11.329% | 
 | 7    | Kartana            | 10.90521% | 50803  | 10.905% | 36867  | 10.491% | 
 | 8    | Magearna           | 10.88117% | 50691  | 10.881% | 40043  | 11.395% | 
 | 9    | Chansey            |  9.81260% | 45713  |  9.813% | 35651  | 10.145% | 
 | 10   | Serperior          |  9.38587% | 43725  |  9.386% | 31641  |  9.004% | 
 | 11   | Toxapex            |  9.10209% | 42403  |  9.102% | 32671  |  9.297% | 
 | 12   | Garchomp           |  8.80157% | 41003  |  8.802% | 31056  |  8.837% | 
 | 13   | Rotom-Wash         |  8.63714% | 40237  |  8.637% | 32890  |  9.359% | 
 | 14   | Excadrill          |  7.72185% | 35973  |  7.722% | 27944  |  7.952% | 
 | 15   | Tapu Lele          |  7.61194% | 35461  |  7.612% | 26723  |  7.604% | 
 | 16   | Clefable           |  7.42240% | 34578  |  7.422% | 25011  |  7.117% | 
 | 17   | Greninja           |  7.39729% | 34461  |  7.397% | 25600  |  7.285% | 
 | 18   | Skarmory           |  7.38097% | 34385  |  7.381% | 28001  |  7.968% | 
 | 19   | Zapdos             |  7.09376% | 33047  |  7.094% | 25858  |  7.358% | 
 | 20   | Tornadus-Therian   |  7.07466% | 32958  |  7.075% | 25712  |  7.317% | 
 | 21   | Hawlucha           |  6.70974% | 31258  |  6.710% | 21535  |  6.128% | 
 | 22   | Charizard-Mega-X   |  6.59490% | 30723  |  6.595% | 22748  |  6.473% | 
 | 23   | Volcarona          |  6.56506% | 30584  |  6.565% | 21287  |  6.057% | 
