 Total battles: 2232041
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 29.61110% | 1321864 | 29.611% | 1142262 | 33.048% | 
 | 2    | Ferrothorn         | 16.83260% | 751421 | 16.833% | 644282 | 18.640% | 
 | 3    | Greninja-Ash       | 16.39170% | 731739 | 16.392% | 535229 | 15.485% | 
 | 4    | Tapu Koko          | 15.00528% | 669848 | 15.005% | 536102 | 15.510% | 
 | 5    | Magearna           | 14.17808% | 632921 | 14.178% | 503620 | 14.571% | 
 | 6    | Heatran            | 13.74565% | 613617 | 13.746% | 505086 | 14.613% | 
 | 7    | Kartana            | 12.15302% | 542521 | 12.153% | 400948 | 11.600% | 
 | 8    | Garchomp           | 10.52136% | 469682 | 10.521% | 375585 | 10.866% | 
 | 9    | Toxapex            | 10.16258% | 453666 | 10.163% | 354002 | 10.242% | 
 | 10   | Tornadus-Therian   |  9.95900% | 444578 |  9.959% | 350559 | 10.142% | 
 | 11   | Rotom-Wash         |  9.90071% | 441976 |  9.901% | 373626 | 10.810% | 
 | 12   | Greninja           |  9.49922% | 424053 |  9.499% | 326388 |  9.443% | 
 | 13   | Tapu Lele          |  9.39333% | 419326 |  9.393% | 317439 |  9.184% | 
 | 14   | Zapdos             |  9.10799% | 406588 |  9.108% | 327172 |  9.466% | 
 | 15   | Serperior          |  9.05617% | 404275 |  9.056% | 297814 |  8.616% | 
 | 16   | Gliscor            |  9.02497% | 402882 |  9.025% | 316303 |  9.151% | 
 | 17   | Excadrill          |  8.48737% | 378883 |  8.487% | 296988 |  8.592% | 
 | 18   | Tapu Fini          |  7.78637% | 347590 |  7.786% | 286583 |  8.291% | 
 | 19   | Chansey            |  7.48212% | 334008 |  7.482% | 256935 |  7.434% | 
 | 20   | Volcarona          |  7.46967% | 333452 |  7.470% | 240441 |  6.956% | 
 | 21   | Celesteela         |  6.97205% | 311238 |  6.972% | 248980 |  7.203% | 
 | 22   | Tapu Bulu          |  6.77476% | 302431 |  6.775% | 233140 |  6.745% | 
 | 23   | Hawlucha           |  6.65499% | 297084 |  6.655% | 202614 |  5.862% | 
 | 24   | Magnezone          |  6.63518% | 296200 |  6.635% | 232624 |  6.730% | 
 | 25   | Alakazam-Mega      |  6.39159% | 285326 |  6.392% | 191403 |  5.538% | 
 | 26   | Charizard-Mega-X   |  6.31014% | 281690 |  6.310% | 210336 |  6.085% | 
 | 27   | Tyranitar          |  6.15175% | 274619 |  6.152% | 216967 |  6.277% | 
 | 28   | Clefable           |  6.00941% | 268265 |  6.009% | 198251 |  5.736% | 
 | 29   | Victini            |  5.93627% | 265000 |  5.936% | 204481 |  5.916% | 
 | 30   | Lopunny-Mega       |  5.86481% | 261810 |  5.865% | 203594 |  5.890% | 
 | 31   | Swampert-Mega      |  5.84225% | 260803 |  5.842% | 213742 |  6.184% | 
 | 32   | Pelipper           |  5.81992% | 259806 |  5.820% | 238665 |  6.905% | 
 | 33   | Medicham-Mega      |  5.69149% | 254073 |  5.691% | 203042 |  5.874% | 
 | 34   | Tangrowth          |  5.57640% | 248935 |  5.576% | 195536 |  5.657% | 
 | 35   | Mawile-Mega        |  5.41632% | 241789 |  5.416% | 180001 |  5.208% | 
 | 36   | Kommo-o            |  5.38357% | 240327 |  5.384% | 178233 |  5.157% | 
 | 37   | Charizard-Mega-Y   |  5.36758% | 239613 |  5.368% | 189332 |  5.478% | 
 | 38   | Scizor-Mega        |  5.35698% | 239140 |  5.357% | 185424 |  5.365% | 
 | 39   | Skarmory           |  5.12242% | 228669 |  5.122% | 190610 |  5.515% | 
 | 40   | Azumarill          |  5.11404% | 228295 |  5.114% | 172273 |  4.984% | 
 | 41   | Kyurem-Black       |  4.73416% | 211337 |  4.734% | 158857 |  4.596% | 
 | 42   | Blacephalon        |  4.63589% | 206950 |  4.636% | 150291 |  4.348% | 
 | 43   | Dragonite          |  4.53863% | 202608 |  4.539% | 146477 |  4.238% | 
 | 44   | Tyranitar-Mega     |  4.26775% | 190516 |  4.268% | 146321 |  4.233% | 
 | 45   | Mimikyu            |  4.26063% | 190198 |  4.261% | 133419 |  3.860% | 
 | 46   | Jirachi            |  4.22277% | 188508 |  4.223% | 147544 |  4.269% | 
 | 47   | Diancie-Mega       |  4.02231% | 179559 |  4.022% | 146286 |  4.232% | 
 | 48   | Venusaur-Mega      |  3.85591% | 172131 |  3.856% | 134312 |  3.886% | 
 | 49   | Gyarados-Mega      |  3.75918% | 167813 |  3.759% | 127240 |  3.681% | 
 | 50   | Mew                |  3.51031% | 156703 |  3.510% | 123586 |  3.576% | 
 | 51   | Weavile            |  3.46548% | 154702 |  3.465% | 114310 |  3.307% | 
 | 52   | Keldeo             |  3.00456% | 134126 |  3.005% | 102812 |  2.975% | 
 | 53   | Sableye-Mega       |  2.66483% | 118960 |  2.665% | 104901 |  3.035% | 
 | 54   | Gengar             |  2.57016% | 114734 |  2.570% | 81371  |  2.354% | 
 | 55   | Breloom            |  2.53642% | 113228 |  2.536% | 85087  |  2.462% | 
 | 56   | Gyarados           |  2.48981% | 111147 |  2.490% | 84344  |  2.440% | 
 | 57   | Salamence          |  2.38589% | 106508 |  2.386% | 77705  |  2.248% | 
 | 58   | Infernape          |  2.34368% | 104624 |  2.344% | 80208  |  2.321% | 
 | 59   | Bisharp            |  2.31212% | 103215 |  2.312% | 73112  |  2.115% | 
 | 60   | Pinsir-Mega        |  2.26264% | 101006 |  2.263% | 70588  |  2.042% | 
 | 61   | Beedrill-Mega      |  2.20224% | 98310  |  2.202% | 75609  |  2.187% | 
 | 62   | Zeraora            |  1.99127% | 88892  |  1.991% | 66985  |  1.938% | 
 | 63   | Hoopa-Unbound      |  1.97617% | 88218  |  1.976% | 62561  |  1.810% | 
 | 64   | Ninetales-Alola    |  1.97375% | 88110  |  1.974% | 71550  |  2.070% | 
 | 65   | Latios             |  1.91591% | 85528  |  1.916% | 62964  |  1.822% | 
 | 66   | Hydreigon          |  1.84932% | 82555  |  1.849% | 61785  |  1.788% | 
 | 67   | Thundurus-Therian  |  1.83068% | 81723  |  1.831% | 64072  |  1.854% | 
 | 68   | Scizor             |  1.79047% | 79928  |  1.790% | 59995  |  1.736% | 
 | 69   | Manaphy            |  1.77248% | 79125  |  1.772% | 57695  |  1.669% | 
 | 70   | Ditto              |  1.76012% | 78573  |  1.760% | 57624  |  1.667% | 
 | 71   | Gallade-Mega       |  1.75877% | 78513  |  1.759% | 56091  |  1.623% | 
 | 72   | Mamoswine          |  1.67788% | 74902  |  1.678% | 60735  |  1.757% | 
 | 73   | Staraptor          |  1.67629% | 74831  |  1.676% | 56503  |  1.635% | 
 | 74   | Cloyster           |  1.66059% | 74130  |  1.661% | 55520  |  1.606% | 
 | 75   | Snorlax            |  1.64058% | 73237  |  1.641% | 54506  |  1.577% | 
 | 76   | Garchomp-Mega      |  1.62710% | 72635  |  1.627% | 54429  |  1.575% | 
 | 77   | Muk-Alola          |  1.61332% | 72020  |  1.613% | 55915  |  1.618% | 
 | 78   | Gastrodon          |  1.60754% | 71762  |  1.608% | 57343  |  1.659% | 
 | 79   | Reuniclus          |  1.57732% | 70413  |  1.577% | 50981  |  1.475% | 
 | 80   | Gardevoir-Mega     |  1.56263% | 69757  |  1.563% | 47785  |  1.383% | 
 | 81   | Latias-Mega        |  1.55951% | 69618  |  1.560% | 53163  |  1.538% | 
 | 82   | Togekiss           |  1.53767% | 68643  |  1.538% | 49937  |  1.445% | 
 | 83   | Marowak-Alola      |  1.51628% | 67688  |  1.516% | 52276  |  1.512% | 
 | 84   | Conkeldurr         |  1.48747% | 66402  |  1.487% | 50567  |  1.463% | 
 | 85   | Manectric-Mega     |  1.46467% | 65384  |  1.465% | 52317  |  1.514% | 
 | 86   | Kingdra            |  1.46413% | 65360  |  1.464% | 46405  |  1.343% | 
 | 87   | Espeon             |  1.44903% | 64686  |  1.449% | 47660  |  1.379% | 
 | 88   | Cresselia          |  1.40891% | 62895  |  1.409% | 48446  |  1.402% | 
