rank,pokemon,usage_pct,raw_usage,raw_pct,real,real_pct
1,Landorus-Therian,27.59556,1023017,27.596,870529,30.905
2,TapuKoko,16.21294,601043,16.213,473839,16.822
3,Ferrothorn,14.78318,548039,14.783,465832,16.538
4,Greninja-Ash,14.11286,523189,14.113,385148,13.673
5,Heatran,13.77157,510537,13.772,419152,14.880
6,Kartana,11.21103,415613,11.211,304802,10.821
7,Magearna,10.46510,387960,10.465,304284,10.802
8,Greninja,10.26662,380602,10.267,290761,10.322
9,Toxapex,10.18696,377649,10.187,289750,10.286
10,Zygarde,9.48233,351527,9.482,255628,9.075
11,Clefable,9.27675,343906,9.277,258874,9.190
12,TapuLele,8.78355,325622,8.784,243001,8.627
13,Zapdos,8.54725,316862,8.547,249264,8.849
14,Garchomp,8.17862,303196,8.179,228335,8.106
15,Chansey,7.29630,270487,7.296,202528,7.190
16,Excadrill,7.25649,269011,7.256,208747,7.411
17,Rotom-Wash,7.23709,268292,7.237,222848,7.911
18,Volcarona,7.06143,261780,7.061,187106,6.642
19,Charizard-Mega-X,6.93619,257137,6.936,192087,6.819
20,Mimikyu,6.89845,255738,6.898,177091,6.287
21,Hawlucha,6.65055,246548,6.651,166372,5.906
22,Celesteela,6.60159,244733,6.602,192249,6.825
23,TapuBulu,6.60103,244712,6.601,188240,6.683
24,Scizor-Mega,6.17834,229042,6.178,177025,6.285
25,Tyranitar,6.13728,227520,6.137,175138,6.218
26,Skarmory,6.03556,223749,6.036,184024,6.533
27,TapuFini,5.84266,216598,5.843,175512,6.231
28,Lopunny-Mega,5.62730,208614,5.627,158252,5.618
29,Blacephalon,5.52787,204928,5.528,148244,5.263
30,Alakazam-Mega,5.45841,202353,5.458,137331,4.875
31,Magnezone,5.43648,201540,5.436,156553,5.558
32,Gliscor,5.40664,200434,5.407,154416,5.482
33,Venusaur-Mega,5.03690,186727,5.037,142488,5.058
34,Medicham-Mega,5.03385,186614,5.034,145548,5.167
35,Bisharp,4.89483,181460,4.895,127452,4.525
36,Tornadus-Therian,4.66500,172940,4.665,135111,4.797
37,Tangrowth,4.60417,170685,4.604,130845,4.645
38,Victini,4.50949,167175,4.509,127510,4.527
39,Kyurem-Black,4.46987,165706,4.470,121368,4.309
40,Swampert-Mega,4.46979,165703,4.470,133645,4.745
41,Charizard-Mega-Y,4.45517,165161,4.455,130915,4.648
42,Mawile-Mega,4.44429,164758,4.444,121021,4.296
43,Mew,4.40658,163360,4.407,127331,4.520
44,Pelipper,4.33799,160817,4.338,145995,5.183
45,Dragonite,4.29386,159181,4.294,112990,4.011
46,Latios,4.07258,150978,4.073,107347,3.811
47,Gyarados-Mega,3.98486,147726,3.985,110371,3.918
48,Serperior,3.83809,142285,3.838,101901,3.618
49,Jirachi,3.83637,142221,3.836,108519,3.853
50,Keldeo,3.75490,139201,3.755,105240,3.736
51,Sableye-Mega,3.55445,131770,3.554,113211,4.019
52,Mamoswine,3.52756,130773,3.528,104963,3.726
53,Weavile,3.48847,129324,3.488,93337,3.314
54,Pinsir-Mega,3.43183,127224,3.432,88503,3.142
55,Gengar,3.37998,125302,3.380,87717,3.114
