rank,pokemon,usage_pct,raw_usage,raw_pct,real,real_pct
1,Landorus-Therian,26.61046,141119,26.610,121186,29.767
2,Greninja-Ash,18.51299,98177,18.513,72109,17.712
3,Ferrothorn,16.21077,85968,16.211,72744,17.868
4,TapuKoko,13.83143,73350,13.831,58835,14.452
5,Magearna,12.30592,65260,12.306,52696,12.944
6,Heatran,12.12923,64323,12.129,52114,12.801
7,Kartana,11.03912,58542,11.039,43396,10.659
8,Gliscor,10.47813,55567,10.478,43285,10.632
9,Serperior,10.32954,54779,10.330,40722,10.003
10,Rotom-Wash,10.06045,53352,10.060,44912,11.032
11,Garchomp,9.63222,51081,9.632,39693,9.750
12,Toxapex,9.03163,47896,9.032,36994,9.087
13,Tornadus-Therian,8.73181,46306,8.732,35953,8.831
14,Chansey,8.67165,45987,8.672,36268,8.909
15,TapuLele,8.13348,43133,8.133,33127,8.137
16,Excadrill,7.73900,41041,7.739,31853,7.824
17,TapuFini,7.32528,38847,7.325,31750,7.799
18,Zapdos,7.28813,38650,7.288,31220,7.669
19,Pelipper,7.28436,38630,7.284,35227,8.653
20,Clefable,7.27512,38581,7.275,28933,7.107
21,Greninja,7.04639,37368,7.046,28047,6.889
22,Swampert-Mega,6.92194,36708,6.922,29865,7.336
23,Charizard-Mega-X,6.84670,36309,6.847,27113,6.660
24,Hawlucha,6.50105,34476,6.501,23883,5.866
25,Volcarona,6.40545,33969,6.405,23946,5.882
26,Magnezone,6.40375,33960,6.404,26765,6.574
27,Skarmory,6.26723,33236,6.267,27795,6.827
28,Lopunny-Mega,6.18351,32792,6.184,25483,6.259
29,Victini,6.02568,31955,6.026,24650,6.055
30,Alakazam-Mega,6.02341,31943,6.023,21686,5.327
31,Medicham-Mega,5.54766,29420,5.548,24096,5.919
32,Kommo-o,5.36512,28452,5.365,21329,5.239
33,Charizard-Mega-Y,5.25971,27893,5.260,22006,5.405
34,Scizor-Mega,5.20880,27623,5.209,21491,5.279
35,Tyranitar,5.03532,26703,5.035,21309,5.234
36,Kyurem-Black,4.98497,26436,4.985,19866,4.880
37,Celesteela,4.97894,26404,4.979,20673,5.078
38,Mawile-Mega,4.95970,26302,4.960,19714,4.842
39,Azumarill,4.73323,25101,4.733,18846,4.629
40,Bisharp,4.50054,23867,4.501,17268,4.242
41,Mimikyu,4.36232,23134,4.362,15991,3.928
42,TapuBulu,4.31706,22894,4.317,17457,4.288
43,Dragonite,4.19695,22257,4.197,16107,3.956
44,Diancie-Mega,3.94464,20919,3.945,17487,4.295
45,Blacephalon,3.83961,20362,3.840,14499,3.561
46,Keldeo,3.72176,19737,3.722,15923,3.911
47,Venusaur-Mega,3.50943,18611,3.509,15181,3.729
48,Manaphy,3.48680,18491,3.487,12849,3.156
49,Sableye-Mega,3.44513,18270,3.445,16204,3.980
50,Jirachi,3.34858,17758,3.349,13352,3.280
51,Weavile,3.28805,17437,3.288,12494,3.069
52,Gyarados-Mega,3.25807,17278,3.258,12830,3.151
53,Tangrowth,3.18698,16901,3.187,13031,3.201
54,Infernape,3.09515,16414,3.095,12547,3.082
55,Breloom,3.07686,16317,3.077,12097,2.971
56,Beedrill-Mega,3.02142,16023,3.021,12154,2.985
57,Gengar,2.79401,14817,2.794,10610,2.606
58,Tyranitar-Mega,2.50738,13297,2.507,10308,2.532
59,Ditto,2.48532,13180,2.485,9548,2.345
60,Pinsir-Mega,2.48306,13168,2.483,9651,2.371
61,Togekiss,2.32051,12306,2.321,9145,2.246
62,Gyarados,2.23811,11869,2.238,9159,2.250
63,Zeraora,2.22453,11797,2.225,8783,2.157
64,Hoopa-Unbound,2.20718,11705,2.207,8198,2.014
65,Gardevoir-Mega,2.19794,11656,2.198,8038,1.974
66,Scizor,2.18701,11598,2.187,8569,2.105
67,Shuckle,2.17909,11556,2.179,10619,2.608
68,Garchomp-Mega,2.03351,10784,2.034,7888,1.938
69,Chandelure,2.01748,10699,2.017,7984,1.961
