rank,pokemon,usage_pct,raw_usage,raw_pct,real,real_pct
1,Landorus-Therian,26.65463,151136,26.655,129130,29.789
2,Ferrothorn,17.66141,100143,17.661,84208,19.426
3,Greninja-Ash,17.45542,98975,17.455,71806,16.565
4,TapuKoko,13.80085,78253,13.801,62698,14.464
5,Heatran,13.20192,74857,13.202,60663,13.994
6,Magearna,12.32646,69893,12.326,55760,12.863
7,Kartana,11.50955,65261,11.510,47574,10.975
8,Rotom-Wash,11.27993,63959,11.280,53473,12.336
9,Gliscor,10.39512,58942,10.395,44997,10.380
10,Garchomp,10.09478,57239,10.095,43705,10.082
11,Chansey,9.53448,54062,9.534,42309,9.760
12,Toxapex,9.01685,51127,9.017,39131,9.027
13,Serperior,8.84402,50147,8.844,36691,8.464
14,Tornadus-Therian,8.39747,47615,8.397,36663,8.458
15,TapuLele,8.24509,46751,8.245,35729,8.242
16,Excadrill,7.93717,45005,7.937,33839,7.806
17,Pelipper,7.82782,44385,7.828,40487,9.340
18,Greninja,7.69502,43632,7.695,32739,7.552
19,Hawlucha,7.27740,41264,7.277,28610,6.600
20,Swampert-Mega,7.18728,40753,7.187,32843,7.576
21,TapuFini,7.08745,40187,7.087,32704,7.544
22,Zapdos,6.91250,39195,6.913,31322,7.226
23,Skarmory,6.71198,38058,6.712,31581,7.285
24,Charizard-Mega-X,6.59470,37393,6.595,28257,6.519
25,Clefable,6.49841,36847,6.498,26255,6.057
26,Medicham-Mega,6.17619,35020,6.176,28448,6.563
27,Volcarona,5.96244,33808,5.962,23842,5.500
28,Tyranitar,5.92946,33621,5.929,26810,6.185
29,Lopunny-Mega,5.91782,33555,5.918,26370,6.083
30,Charizard-Mega-Y,5.76157,32669,5.762,26054,6.010
31,Magnezone,5.40038,30621,5.400,23355,5.388
32,Scizor-Mega,5.34976,30334,5.350,23615,5.448
33,Kommo-o,5.30585,30085,5.306,22123,5.103
34,Victini,5.25558,29800,5.256,22773,5.253
35,Azumarill,5.12366,29052,5.124,21815,5.032
36,Celesteela,5.10903,28969,5.109,22475,5.185
37,Alakazam-Mega,4.75577,26966,4.756,18114,4.179
38,Mawile-Mega,4.75154,26942,4.752,19925,4.596
39,Kyurem-Black,4.55843,25847,4.558,19061,4.397
40,TapuBulu,4.16390,23610,4.164,18138,4.184
41,Dragonite,4.14944,23528,4.149,17136,3.953
42,Diancie-Mega,4.01752,22780,4.018,18831,4.344
