rank,pokemon,usage_pct,raw_usage,raw_pct,real,real_pct
1,Landorus-Therian,27.55870,1050149,27.559,899417,31.033
2,Heatran,15.82241,602927,15.822,499312,17.228
3,Greninja-Ash,14.91310,568277,14.913,416345,14.365
4,TapuKoko,14.54762,554350,14.548,438011,15.113
5,Ferrothorn,14.46863,551340,14.469,465360,16.056
6,Magearna,11.17328,425768,11.173,333813,11.518
7,Zapdos,10.12177,385699,10.122,307164,10.598
8,Kartana,10.10552,385080,10.106,278718,9.617
9,Toxapex,10.07033,383739,10.070,295884,10.209
10,Zygarde,9.99126,380726,9.991,278952,9.625
11,TapuLele,9.25093,352515,9.251,262826,9.068
12,Greninja,9.11224,347230,9.112,266047,9.179
13,Gliscor,8.62126,328521,8.621,253226,8.737
14,Chansey,8.19836,312406,8.198,236919,8.174
15,Clefable,8.16698,311210,8.167,229041,7.903
16,TapuBulu,7.84131,298800,7.841,229921,7.933
17,Volcarona,7.72130,294227,7.721,210826,7.274
18,Serperior,7.56954,288444,7.570,210100,7.249
19,Excadrill,7.56765,288372,7.568,221741,7.651
20,Tornadus-Therian,7.43672,283383,7.437,222965,7.693
21,Garchomp,7.35631,280319,7.356,214635,7.406
22,Tangrowth,7.28661,277663,7.287,215304,7.429
23,Celesteela,6.96716,265490,6.967,209345,7.223
24,Rotom-Wash,6.77727,258254,6.777,214540,7.402
25,Charizard-Mega-X,6.76147,257652,6.761,193813,6.687
26,Hawlucha,6.46950,246526,6.469,164933,5.691
27,Alakazam-Mega,6.25641,238406,6.256,157184,5.423
28,Mawile-Mega,6.11609,233059,6.116,171529,5.918
29,Mimikyu,5.81805,221702,5.818,153551,5.298
30,Scizor-Mega,5.77018,219878,5.770,169923,5.863
31,Tyranitar,5.76530,219692,5.765,170567,5.885
32,Charizard-Mega-Y,5.67382,216206,5.674,170111,5.869
33,TapuFini,5.56360,212006,5.564,172695,5.959
34,Lopunny-Mega,5.47700,208706,5.477,159156,5.491
35,Blacephalon,5.24087,199708,5.241,143896,4.965
36,Magnezone,5.23426,199456,5.234,154151,5.319
37,Skarmory,5.17038,197022,5.170,160423,5.535
38,Medicham-Mega,4.73423,180402,4.734,139642,4.818
39,Victini,4.50880,171812,4.509,130719,4.510
40,Kyurem-Black,4.38079,166934,4.381,124058,4.280
41,Gyarados-Mega,4.27181,162781,4.272,121895,4.206
42,Swampert-Mega,4.22732,161086,4.227,129170,4.457
43,Pelipper,4.10595,156461,4.106,142416,4.914
44,Dragonite,4.01056,152826,4.011,108020,3.727
45,Venusaur-Mega,3.74659,142767,3.747,109491,3.778
