rank,pokemon,usage_pct,raw_usage,raw_pct,real,real_pct
1,Landorus-Therian,25.34401,880597,25.344,746618,28.742
2,TapuFini,15.20116,528176,15.201,421231,16.216
3,Metagross-Mega,14.02378,487267,14.024,357500,13.763
4,Greninja-Ash,13.70930,476340,13.709,357728,13.771
5,Pheromosa,13.47836,468316,13.478,351571,13.534
6,TapuKoko,13.03270,452831,13.033,343798,13.235
7,Garchomp,12.51787,434943,12.518,328476,12.645
8,Ferrothorn,11.79928,409975,11.799,346435,13.337
9,TapuLele,11.45115,397879,11.451,281044,10.819
10,Greninja,10.27107,356876,10.271,263388,10.140
11,Heatran,9.65088,335327,9.651,270090,10.398
12,Toxapex,9.18112,319005,9.181,242263,9.326
13,Celesteela,8.68316,301703,8.683,233421,8.986
14,Marowak-Alola,8.50176,295400,8.502,220192,8.477
15,Mimikyu,7.87823,273735,7.878,189689,7.302
16,Volcarona,7.82268,271805,7.823,196130,7.550
17,Scizor-Mega,7.64689,265697,7.647,203444,7.832
18,Excadrill,7.58311,263481,7.583,195811,7.538
19,Mawile-Mega,7.40945,257447,7.409,188540,7.258
20,Charizard-Mega-X,7.36032,255740,7.360,186972,7.198
21,Skarmory,7.26279,252351,7.263,207671,7.995
22,Charizard-Mega-Y,7.16985,249122,7.170,190609,7.338
23,Magnezone,7.10993,247040,7.110,190401,7.330
24,Magearna,6.72117,233532,6.721,179015,6.892
25,Rotom-Wash,6.60086,229352,6.601,187931,7.235
26,Beedrill-Mega,6.24534,216999,6.245,162352,6.250
27,Chansey,6.13732,213246,6.137,158424,6.099
28,Tyranitar,6.02698,209412,6.027,160436,6.176
29,Dugtrio,5.84581,203117,5.846,148206,5.705
30,Kartana,5.70081,198079,5.701,140913,5.425
31,Venusaur-Mega,5.49434,190905,5.494,143276,5.516
32,TapuBulu,5.44751,189278,5.448,136476,5.254
33,Gengar,5.16000,179288,5.160,126228,4.859
34,Latios,5.14328,178707,5.143,122695,4.723
35,Zapdos,5.10284,177302,5.103,140644,5.414
36,Muk-Alola,4.93793,171572,4.938,129743,4.995
