rank,pokemon,usage_pct,raw_usage,raw_pct,real,real_pct
1,Landorus-Therian,26.23282,983149,26.233,839032,29.471
2,Greninja-Ash,15.43075,578311,15.431,424665,14.916
3,Heatran,15.42144,577962,15.421,475466,16.700
4,Ferrothorn,14.27850,535127,14.278,450223,15.814
5,TapuKoko,13.96554,523398,13.966,411442,14.452
6,Magearna,11.82836,443301,11.828,347816,12.217
7,Kartana,10.97817,411438,10.978,296893,10.428
8,Toxapex,10.00232,374865,10.002,288804,10.144
9,Zapdos,9.47150,354971,9.471,279594,9.821
10,Gliscor,9.08329,340422,9.083,262068,9.205
11,Greninja,8.90826,333862,8.908,255144,8.962
12,Zygarde,8.83496,331115,8.835,242129,8.505
13,Garchomp,8.78709,329321,8.787,255186,8.963
14,TapuLele,8.47082,317468,8.471,236169,8.295
15,Chansey,8.44313,316430,8.443,238605,8.381
16,TapuBulu,8.33095,312226,8.331,236922,8.322
17,Clefable,7.99361,299583,7.994,220914,7.759
18,Charizard-Mega-X,7.62192,285653,7.622,213816,7.510
19,Serperior,7.52781,282126,7.528,203883,7.161
20,Rotom-Wash,7.48483,280515,7.485,232440,8.164
21,Excadrill,7.28308,272954,7.283,210327,7.388
22,Volcarona,7.25773,272004,7.258,193938,6.812
23,Celesteela,6.58776,246895,6.588,194678,6.838
24,Tornadus-Therian,6.55791,245776,6.558,192697,6.768
25,Tangrowth,6.52020,244363,6.520,188653,6.626
26,Mimikyu,6.34930,237958,6.349,165199,5.803
27,Alakazam-Mega,6.33308,237350,6.333,155725,5.470
28,Scizor-Mega,6.09611,228469,6.096,176374,6.195
29,Hawlucha,5.97273,223845,5.973,149833,5.263
30,Magnezone,5.92785,222163,5.928,171725,6.032
31,Charizard-Mega-Y,5.82254,218216,5.823,170735,5.997
32,Mawile-Mega,5.77736,216523,5.777,159063,5.587
33,Tyranitar,5.73307,214863,5.733,165257,5.805
34,TapuFini,5.42969,203493,5.430,165159,5.801
35,Lopunny-Mega,5.29972,198622,5.300,151474,5.320
36,Skarmory,5.26720,197403,5.267,160886,5.651
37,Blacephalon,5.15967,193373,5.160,138111,4.851
38,Medicham-Mega,4.95117,185559,4.951,144397,5.072
39,Kyurem-Black,4.94781,185433,4.948,138104,4.851
40,Victini,4.36837,163717,4.368,124349,4.368
41,Dragonite,4.25823,159589,4.258,113267,3.978
42,Swampert-Mega,4.22503,158345,4.225,126738,4.452
43,Pelipper,4.11726,154306,4.117,140715,4.943
44,Gyarados-Mega,3.97366,148924,3.974,110721,3.889
45,Mew,3.87923,145385,3.879,111916,3.931
46,Venusaur-Mega,3.85743,144568,3.857,110582,3.884
47,Sableye-Mega,3.66587,137389,3.666,118071,4.147
48,Keldeo,3.58564,134382,3.586,101356,3.560
49,Jirachi,3.53414,132452,3.534,99617,3.499
50,Pinsir-Mega,3.46389,129819,3.464,90781,3.189
51,Gastrodon,3.37602,126526,3.376,98329,3.454
52,Gengar,3.21027,120314,3.210,84165,2.956
53,Weavile,3.17540,119007,3.175,86891,3.052
54,Azumarill,2.93486,109992,2.935,83475,2.932
55,Hoopa-Unbound,2.84560,106647,2.846,73897,2.596
56,Tyranitar-Mega,2.65055,99337,2.651,74444,2.615
57,Gyarados,2.64770,99230,2.648,74443,2.615
58,Ninetales-Alola,2.63292,98676,2.633,79090,2.778
59,Zeraora,2.48752,93227,2.488,69318,2.435
60,Bisharp,2.47648,92813,2.476,65082,2.286
61,Salamence,2.43712,91338,2.437,65135,2.288
62,Diancie-Mega,2.42090,90730,2.421,74730,2.625
63,Beedrill-Mega,2.33050,87342,2.330,65695,2.308
64,Infernape,2.30307,86314,2.303,64651,2.271
65,Latios,2.22075,83229,2.221,59013,2.073
66,Cloyster,2.13369,79966,2.134,59217,2.080
67,Breloom,2.06741,77482,2.067,56959,2.001
68,Snorlax,1.97821,74139,1.978,54083,1.900
69,Scizor,1.96105,73496,1.961,54477,1.913
70,Marowak-Alola,1.92004,71959,1.920,54694,1.921
71,Muk-Alola,1.91775,71873,1.918,54971,1.931
72,Staraptor,1.85929,69682,1.859,51522,1.810
73,Hippowdon,1.83517,68778,1.835,58707,2.062
74,Hydreigon,1.80611,67689,1.806,49924,1.754
75,Kommo-o,1.79303,67199,1.793,49019,1.722
76,Togekiss,1.78447,66878,1.784,48256,1.695
77,Gardevoir-Mega,1.75795,65884,1.758,44085,1.548
78,Conkeldurr,1.74042,65227,1.740,49055,1.723
79,Gallade-Mega,1.72457,64633,1.725,45429,1.596
80,Araquanid,1.71128,64135,1.711,55001,1.932
81,Kingdra,1.70429,63873,1.704,44674,1.569
82,Nidoking,1.67208,62666,1.672,48585,1.707
83,Espeon,1.65164,61900,1.652,44652,1.568
84,Mamoswine,1.63251,61183,1.633,49720,1.746
85,Shuckle,1.61234,60427,1.612,52836,1.856
86,Thundurus-Therian,1.60132,60014,1.601,46126,1.620
87,Metagross,1.59526,59787,1.595,44790,1.573
88,Arcanine,1.58547,59420,1.585,45239,1.589
89,Latias-Mega,1.57088,58873,1.571,41997,1.475
90,Umbreon,1.55060,58113,1.551,40556,1.425
91,Manectric-Mega,1.51655,56837,1.517,45103,1.584
92,Porygon-Z,1.49915,56185,1.499,40137,1.410
93,Garchomp-Mega,1.49424,56001,1.494,40232,1.413
94,Ditto,1.46887,55050,1.469,39825,1.399
95,Buzzwole,1.46601,54943,1.466,40882,1.436
96,Manaphy,1.46439,54882,1.464,39803,1.398
97,Xurkitree,1.45075,54371,1.451,39442,1.385
98,Goodra,1.43074,53621,1.431,39410,1.384
99,Heracross-Mega,1.41059,52866,1.411,38029,1.336
100,Alakazam,1.39672,52346,1.397,34298,1.205
101,Incineroar,1.36467,51145,1.365,40393,1.419
102,Galvantula,1.33388,49991,1.334,43606,1.532
103,Cresselia,1.33343,49974,1.333,37998,1.335
104,Blissey,1.29306,48461,1.293,35443,1.245
105,Darmanitan,1.28842,48287,1.288,36704,1.289
106,Chandelure,1.28620,48204,1.286,35123,1.234
107,Crawdaunt,1.26413,47377,1.264,34798,1.222
108,Jolteon,1.25346,46977,1.253,35293,1.240
109,Starmie,1.25215,46928,1.252,33378,1.172
110,Milotic,1.23652,46342,1.237,34462,1.210
111,Volcanion,1.23454,46268,1.235,36136,1.269
112,Lucario,1.18705,44488,1.187,31486,1.106
113,Venusaur,1.15743,43378,1.157,31371,1.102
114,Quagsire,1.15690,43358,1.157,31506,1.107
115,Talonflame,1.15372,43239,1.154,31455,1.105
116,Tentacruel,1.12651,42219,1.127,32357,1.137
117,Suicune,1.11813,41905,1.118,31608,1.110
118,Latios-Mega,1.09705,41115,1.097,30100,1.057
119,Porygon2,1.08435,40639,1.084,31176,1.095
120,Salazzle,1.08269,40577,1.083,30009,1.054
121,Mantine,1.08224,40560,1.082,31389,1.103
122,Sylveon,1.07810,40405,1.078,27302,0.959
123,Amoonguss,1.06655,39972,1.067,29183,1.025
124,Reuniclus,1.06156,39785,1.062,28425,0.998
125,Ribombee,1.05871,39678,1.059,34883,1.225
126,Scolipede,1.04851,39296,1.049,28635,1.006
127,Sceptile-Mega,1.04705,39241,1.047,27852,0.978
128,Crobat,1.04315,39095,1.043,28879,1.014
129,Slowbro,1.03512,38794,1.035,29538,1.038
130,Forretress,0.93044,34871,0.930,30198,1.061
131,Empoleon,0.92364,34616,0.924,27293,0.959
132,Latias,0.92116,34523,0.921,24516,0.861
133,Torkoal,0.89266,33455,0.893,30400,1.068
134,Aerodactyl-Mega,0.87308,32721,0.873,24158,0.849
135,Nihilego,0.86609,32459,0.866,25101,0.882
136,Swampert,0.85813,32161,0.858,26880,0.944
137,Aggron-Mega,0.84858,31803,0.849,25632,0.900
138,Haxorus,0.81267,30457,0.813,20210,0.710
139,Altaria-Mega,0.81040,30372,0.810,21724,0.763
140,Klefki,0.80920,30327,0.809,25392,0.892
141,Krookodile,0.79426,29767,0.794,22090,0.776
142,Roserade,0.78086,29265,0.781,21478,0.754
143,Smeargle,0.77955,29216,0.780,26103,0.917
144,Mandibuzz,0.76090,28517,0.761,21703,0.762
145,Electivire,0.76026,28493,0.760,20805,0.731
146,Rotom-Heat,0.74201,27809,0.742,22417,0.787
147,Azelf,0.73131,27408,0.731,24695,0.867
148,Vaporeon,0.71541,26812,0.715,20175,0.709
149,Pidgeot-Mega,0.70735,26510,0.707,19782,0.695
150,Thundurus,0.69420,26017,0.694,20189,0.709
151,Blastoise-Mega,0.68320,25605,0.683,19460,0.684
152,Machamp,0.67178,25177,0.672,18774,0.659
153,Feraligatr,0.66223,24819,0.662,17907,0.629
154,Zoroark,0.65537,24562,0.655,11398,0.400
155,Gardevoir,0.64873,24313,0.649,16372,0.575
156,Primarina,0.64769,24274,0.648,17824,0.626
157,Typhlosion,0.64302,24099,0.643,17475,0.614
158,Whimsicott,0.64177,24052,0.642,18364,0.645
159,Slowbro-Mega,0.61295,22972,0.613,17397,0.611
160,Ninetales,0.60943,22840,0.609,17869,0.628
161,Cofagrigus,0.60711,22753,0.607,17655,0.620
